,year,Community,average_age,rolling_average_age
0,1908,1,0.0,
1,1908,2,31.0,
2,1908,3,0.0,
3,1908,4,0.0,
4,1908,5,0.0,0.0
5,1908,6,0.0,0.0
6,1908,7,0.0,0.0
7,1908,8,0.0,0.0
8,1908,9,0.0,0.0
9,1908,10,0.0,-10.2
10,1908,11,0.0,-10.2
11,1908,12,0.0,-10.2
12,1908,13,0.0,-5.8
13,1908,14,0.0,-5.8
14,1908,15,0.0,4.4
15,1908,16,32.666666666666664,4.4
16,1908,17,0.0,4.4
17,1908,18,0.0,0.0
18,1908,19,0.0,0.0
19,1908,20,0.0,0.0
20,1909,1,0.0,0.0
21,1909,2,23.666666666666668,0.0
22,1909,3,0.0,0.0
23,1909,4,0.0,0.0
24,1909,5,0.0,-5.4
25,1909,6,0.0,-5.4
26,1909,7,0.0,-2.0
27,1909,8,0.0,1.6
28,1909,9,0.0,7.4
29,1909,10,0.0,18.0
30,1909,11,0.0,21.466666666666665
31,1909,12,0.0,20.6
32,1909,13,0.0,23.2
33,1909,14,0.0,23.6
34,1909,15,0.0,21.071428571428573
35,1909,16,30.5,21.604761904761908
36,1909,17,0.0,26.13809523809524
37,1909,18,17.0,26.418095238095237
38,1909,19,0.0,24.118095238095236
39,1909,20,0.0,27.296666666666663
40,1910,1,0.0,29.953809523809525
41,1910,2,29.5,28.387142857142855
42,1910,3,0.0,28.56868131868132
43,1910,4,31.0,30.90201465201465
44,1910,5,0.0,31.633832833832834
45,1910,6,0.0,31.515151515151512
46,1910,7,0.0,32.75361305361305
47,1910,8,0.0,32.86207459207459
48,1910,9,0.0,32.62874125874126
49,1910,10,0.0,31.991367521367522
50,1910,11,0.0,31.852905982905988
51,1910,12,0.0,31.533492063492066
52,1910,13,16.0,32.075992063492066
53,1910,14,0.0,32.909325396825395
54,1910,15,0.0,33.56488095238095
55,1910,16,30.0,33.54265873015873
56,1910,17,0.0,33.82646825396826
57,1910,18,31.666666666666668,33.65336219336219
58,1910,19,0.0,33.483443494175205
59,1910,20,0.0,33.61929255077898
60,1911,1,0.0,34.32613015761658
61,1911,2,23.0,34.67781846930489
62,1911,3,0.0,34.420352240754326
63,1911,4,0.0,34.432262281932665
64,1911,5,0.0,34.652227178817256
65,1911,6,0.0,34.61030842341536
66,1911,7,0.0,34.748355561462496
67,1911,8,0.0,34.7169541664086
68,1911,9,0.0,35.31570356515799
69,1911,10,0.0,36.034698771974966
70,1911,11,0.0,36.399196387365805
71,1911,12,0.0,36.5091037947732
72,1911,13,0.0,36.88499257332336
73,1911,14,0.0,36.91295931557581
74,1911,15,0.0,36.7067215838419
75,1911,16,31.0,36.689878216430564
76,1911,17,0.0,36.67561351054822
77,1911,18,26.0,36.83615493794771
78,1911,19,0.0,36.81125697876404
79,1911,20,0.0,36.9178334791867
80,1912,1,0.0,37.20668488119599
81,1912,2,25.22222222222222,37.53280856143733
82,1912,3,0.0,38.031789539698195
83,1912,4,0.0,38.524646682555336
84,1912,5,0.0,38.70456048195631
85,1912,6,0.0,38.952630930026764
86,1912,7,-55.333333333333336,39.143466760862594
87,1912,8,0.0,39.24186661026018
88,1912,9,0.0,39.47661980952892
89,1912,10,0.0,39.99531954902376
90,1912,11,0.0,40.3273470059131
91,1912,12,0.0,40.83634023490633
92,1912,13,31.5,41.22162745888758
93,1912,14,0.0,41.560455340699924
94,1912,15,0.0,41.92587615560389
95,1912,16,31.666666666666668,42.29637049198977
96,1912,17,0.0,42.6858473792677
97,1912,18,28.523809523809526,43.2835338779451
98,1912,19,0.0,44.063006689079586
99,1912,20,0.0,44.80382440628572
100,1913,1,0.0,45.540860756016926
101,1913,2,26.5,46.43442766846099
102,1913,3,0.0,46.967301439288306
103,1913,4,4.0,47.59632675499353
104,1913,5,0.0,48.12754170826455
105,1913,6,0.0,48.54252901980358
106,1913,7,0.0,48.07863051922688
107,1913,8,0.0,48.87844567634333
108,1913,9,0.0,48.76636646842255
109,1913,10,0.0,
110,1913,11,0.0,
111,1913,12,0.0,
112,1913,13,0.0,
113,1913,14,0.0,26.477777777777778
114,1913,15,0.0,25.577777777777776
115,1913,16,25.666666666666668,27.27777777777778
