Freebase_actor_ID,connectivity,community
/m/0f5xn,157,1
/m/028k57,128,1
/m/01vy_v8,125,1
/m/0pz91,123,1
/m/01wbg84,123,1
/m/03n08b,118,1
/m/0mdqp,114,1
/m/0gd9k,105,1
/m/032w8h,104,1
/m/05txrz,101,1
/m/073749,97,1
/m/0169dl,97,1
/m/01swck,97,1
/m/085q5,95,1
/m/06cgy,95,1
/m/0bxtg,91,1
/m/01pcbg,90,1
/m/018grr,86,1
/m/01mvth,85,1
/m/0p8r1,84,1
/m/019vgs,84,1
/m/01vsn38,83,1
/m/034np8,81,1
/m/0fby2t,77,1
/m/0738b8,76,1
/m/0151w_,75,1
/m/028d4v,75,1
/m/03l3jy,74,1
/m/0534nr,74,1
/m/08vr94,74,1
/m/059j1m,73,1
/m/01q_ph,71,1
/m/02q7z2,69,1
/m/0pgjm,68,1
/m/08lxvw,68,1
/m/023kzp,67,1
/m/01fwpt,67,1
/m/02xn_q,66,1
/m/01fyzy,66,1
/m/0127zc,64,1
/m/03n52j,61,1
/m/06rq2l,60,1
/m/03gsjv,60,1
/m/01f7dd,59,1
/m/02qx69,59,1
/m/062hgx,58,1
/m/0klh7,58,1
/m/01nm3s,58,1
/m/07m77x,58,1
/m/021bk,56,1
/m/02jm0n,56,1
/m/01l_yg,56,1
/m/081lh,55,1
/m/01gkmx,54,1
/m/02g87m,54,1
/m/0f6_x,53,1
/m/063r24,53,1
/m/05bnp0,52,1
/m/044rvb,52,1
/m/01yhd1,52,1
/m/01j5ts,52,1
/m/0c01c,52,1
/m/0c6qh,52,1
/m/06pp0z,51,1
/m/01h8f,51,1
/m/079vf,51,1
/m/07cjqy,50,1
/m/051wwp,50,1
/m/02qgyv,50,1
/m/049k07,49,1
/m/0q9kd,49,1
/m/011zd3,49,1
/m/0gn30,49,1
/m/015p3p,48,1
/m/014zcr,48,1
/m/02xwgr,48,1
/m/07qn0,47,1
/m/01x_d8,47,1
/m/0315q3,47,1
/m/0c0k1,47,1
