Community,Males_%,Females_%,1st_country,1st_country_%,2nd_country,2nd_country_%,3rd_country,3rd_country_%,1st_occupation,1st_occupation_%,2nd_occupation,2nd_occupation_%,3rd_occupation,3rd_occupation_%
1,67.93680297397769,32.06319702602231,United States of America,86.86200378071834,United Kingdom,4.44234404536862,Canada,3.8752362948960304,voice actor,14.498028510767364,producer,13.497118592659993,writer,12.435547467394601
2,67.82868525896414,32.17131474103586,United States of America,80.64516129032258,United Kingdom,9.67741935483871,Canada,3.125,writer,10.361317747077576,musician,7.438894792773645,director,7.1200850159404885
3,59.22330097087378,40.77669902912621,India,96.78456591639872,United Kingdom,1.2861736334405145,Pakistan,0.482315112540193,director,10.74600355239787,producer,8.348134991119005,model,8.348134991119005
4,72.95373665480427,27.046263345195733,United Kingdom,64.57960644007156,United States of America,14.311270125223613,Australia,7.155635062611807,writer,10.302457466918714,producer,7.277882797731569,director,6.994328922495274
5,65.06849315068493,34.93150684931507,India,99.02439024390245,Egypt,0.24390243902439024,Bhutan,0.24390243902439024,director,9.585121602288984,producer,8.583690987124463,writer,5.7224606580829755
6,72.6235741444867,27.376425855513308,China,58.44155844155844,Hong Kong,18.181818181818183,Taiwan,9.956709956709958,musician,15.885947046843176,director,12.627291242362526,writer,6.517311608961303
7,66.91176470588235,33.088235294117645,United States of America,88.97338403041825,Canada,6.4638783269961975,United Kingdom,3.4220532319391634,voice actor,28.33957553058677,musician,9.113607990012484,writer,7.740324594257178
8,70.0,30.0,United States of America,74.81203007518798,United Kingdom,6.390977443609022,Spain,6.390977443609022,producer,12.546583850931677,voice actor,12.173913043478262,writer,10.559006211180124
9,69.0721649484536,30.927835051546392,United Kingdom,77.15736040609137,Ireland,7.614213197969544,United States of America,7.1065989847715745,voice actor,11.899313501144166,writer,10.983981693363845,producer,8.237986270022883
10,59.76331360946746,40.23668639053255,India,100.0,0,0,0,0,director,10.81081081081081,writer,7.722007722007722,producer,5.7915057915057915
11,54.32098765432099,45.67901234567901,Japan,73.71794871794873,United States of America,23.717948717948715,Canada,1.9230769230769231,actor,33.43023255813954,musician,10.755813953488373,presenter,4.069767441860465
12,65.0,35.0,France,55.625,Italy,30.625000000000004,Portugal,5.0,director,16.138328530259365,writer,15.273775216138327,musician,5.475504322766571
13,71.53846153846153,28.46153846153846,United States of America,87.5,United Kingdom,6.666666666666667,Australia,2.5,producer,7.446808510638298,director,6.914893617021277,writer,6.914893617021277
14,67.22689075630252,32.773109243697476,Japan,100.0,0,0,0,0,voice actor,8.379888268156424,musician,8.379888268156424,director,7.262569832402235
15,76.41509433962264,23.58490566037736,United States of America,73.33333333333333,United Kingdom,17.142857142857142,Canada,3.8095238095238098,writer,14.516129032258066,producer,12.580645161290322,voice actor,10.967741935483872
16,84.31372549019608,15.686274509803921,United States of America,91.39784946236558,United Kingdom,6.451612903225806,Canada,1.0752688172043012,director,16.75977653631285,writer,11.1731843575419,producer,6.70391061452514
17,65.85365853658537,34.146341463414636,United States of America,92.40506329113924,United Kingdom,3.79746835443038,Netherlands,1.2658227848101267,comedian,6.896551724137931,voice actor,4.310344827586207,writer,4.310344827586207
18,52.0,48.0,United States of America,87.5,Canada,6.944444444444445,Germany,2.7777777777777777,director,15.178571428571427,writer,12.5,producer,5.357142857142857
19,57.57575757575758,42.42424242424242,United States of America,95.83333333333334,Canada,4.166666666666666,0,0,writer,13.194444444444445,producer,12.5,director,11.11111111111111
20,63.46153846153846,36.53846153846153,Sweden,87.27272727272727,Japan,5.454545454545454,Germany,3.6363636363636362,director,15.59633027522936,writer,11.926605504587156,musician,9.174311926605505
