Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_country_of_citizenship,actor_occupation
John Wayne,286,M,5/26/1907,/m/063k3h,/m/043gj,1,Q40531,United States of America,"['actor', 'film actor', 'film director', 'film producer', 'screenwriter', 'American football player', 'television actor']"
Roy Rogers,242,M,11/5/1911,/m/07hwkr,/m/01mc6h1,1,Q367129,United States of America,"['television actor', 'film actor', 'singer', 'actor', 'musician', 'yodeler', 'songwriter', 'film producer']"
George 'Gabby' Hayes,130,M,1885-05-07,,/m/03l6jx,1,Q1277973,United States of America,"['actor', 'television actor', 'film actor', 'radio personality']"
Basil Rathbone,121,M,1892-06-13,,/m/0hwd8,1,Q336865,United Kingdom,"['character actor', 'stage actor', 'film actor', 'television actor']"
John Carradine,114,M,2/5/1906,,/m/021mlp,1,Q312878,United States of America,"['film actor', 'character actor', 'stage actor', 'television actor', 'voice actor', 'painter', 'sculptor']"
James Stewart,112,M,5/20/1908,/m/07bch9,/m/044qx,1,Q102462,United States of America,"['television actor', 'film actor', 'military officer', 'aircraft pilot', 'character actor', 'television director', 'screenwriter', 'military personnel', 'stage actor', 'poet', 'voice actor', 'film director']"
"Alan Hale, Sr.",107,M,1892-02-10,,/m/02t1wn,1,Q1971717,United States of America,"['film actor', 'actor', 'character actor', 'stage actor', 'film director']"
Lionel Barrymore,106,M,1878-04-28,,/m/0hnkp,1,Q295593,United States of America,"['film director', 'composer', 'musician', 'screenwriter', 'stage actor', 'film actor', 'actor', 'television presenter']"
Trigger,103,M,,,/m/05pg6q,1,Q614508,,[]
Mickey Rooney,98,M,9/23/1920,/m/07bch9,/m/0m0nq,1,Q104081,United States of America,"['singer', 'novelist', 'dub actor', 'writer', 'comedian', 'military personnel', 'film director', 'radio personality', 'television producer', 'film producer', 'film actor', 'television actor', 'stage actor', 'actor', 'voice actor', 'screenwriter']"
Max Terhune,92,M,1891-02-12,,/m/02x2bzt,1,Q3302338,United States of America,"['actor', 'film actor']"
Humphrey Bogart,91,M,1899-12-25,/m/07mqps,/m/03n6r,1,Q16390,United States of America,"['character actor', 'screenwriter', 'stage actor', 'film actor', 'actor']"
Myrna Loy,89,F,8/2/1905,,/m/012vf6,1,Q105941,United States of America,"['dancer', 'stage actor', 'film actor', 'television actor', 'actor']"
Nigel Bruce,85,M,1895-02-04,,/m/02l99f,1,Q728050,United Kingdom,"['actor', 'stage actor', 'film actor', 'television actor']"
Lewis Stone,83,M,1879-11-15,,/m/011_r9,1,Q457220,United States of America,"['stage actor', 'film actor', 'actor']"
Clark Gable,77,M,2/1/1901,,/m/0bkmf,1,Q71243,United States of America,['film actor']
Errol Flynn,73,M,6/20/1909,/m/033tf_,/m/0hnp7,1,Q93188,United States of America,"['actor', 'character actor', 'screenwriter', 'film actor', 'film director']"
"Ray ""Crash"" Corrigan",73,M,2/14/1902,,/m/02849b0,1,Q442728,United States of America,"['actor', 'film actor']"
Bette Davis,72,F,4/5/1908,,/m/0h1m9,1,Q71206,United States of America,"['autobiographer', 'character actor', 'stage actor', 'film actor', 'television actor', 'actor', 'musician']"
Yakima Canutt,72,M,1895-11-29,,/m/03fcvf,1,Q563665,United States of America,"['actor', 'rodeo rider', 'film actor', 'stunt performer', 'film director']"
Gary Cooper,72,M,5/7/1901,,/m/0c2tf,1,Q93957,United States of America,"['film actor', 'screenwriter', 'television actor', 'actor']"
Bob Hope,69,M,5/29/1903,,/m/015cbq,1,Q94081,United States of America,"['comedian', 'singer', 'writer', 'screenwriter', 'television actor', 'boxer', 'radio personality', 'film actor', 'television presenter', 'stage actor', 'voice actor', 'dancer', 'actor']"
Dean Martin,68,M,6/7/1917,/m/0xnvg,/m/013qvn,1,Q215359,United States of America,"['film actor', 'singer', 'jazz musician', 'screenwriter', 'comedian', 'manufacturer', 'musician', 'film producer', 'television actor']"
Joan Crawford,67,F,3/23/1905,,/m/0cgbf,1,Q40475,United States of America,"['actor', 'film actor', 'dancer', 'model', 'television actor', 'businessperson']"
Charles Bronson,67,M,11/3/1921,/m/0ffkb4,/m/01dkpb,1,Q36105,United States of America,"['actor', 'film actor', 'character actor', 'screenwriter', 'television actor']"
William Demarest,63,M,1892-02-27,,/m/0436zq,1,Q1395104,United States of America,"['film actor', 'stage actor', 'television actor', 'actor']"
Robert Livingston,63,M,12/9/1904,,/m/09c_46,1,Q7346945,United States of America,"['film actor', 'actor']"
Reginald Owen,61,M,1887-08-05,,/m/0b47ns,1,Q577687,United Kingdom,"['actor', 'screenwriter', 'stage actor', 'film actor', 'television actor']"
Jerry Lewis,61,M,3/16/1926,/m/09kr66,/m/0427y,1,Q294927,United States of America,"['film producer', 'film actor', 'film director', 'singer-songwriter', 'writer', 'screenwriter', 'musician', 'singer', 'stage actor', 'television actor', 'comedian', 'television producer']"
Frank Sinatra,60,M,12/12/1915,/m/0xnvg,/m/02_fj,1,Q40912,United States of America,"['television actor', 'film actor', 'actor', 'singer', 'voice actor', 'jazz musician', 'film producer', 'recording artist', 'film director']"
Wallace Beery,60,M,1885-04-01,,/m/01200d,1,Q322179,United States of America,"['stage actor', 'film actor', 'actor', 'film director']"
Dale Evans,60,F,10/31/1912,,/m/02jq56,1,Q438048,United States of America,"['singer', 'songwriter', 'film actor']"
"Harry Carey, Jr.",58,M,5/16/1921,,/m/05cr66,1,Q1397312,United States of America,"['actor', 'television actor', 'film actor']"
Walter Brennan,57,M,1894-07-25,,/m/02f6s3,1,Q219521,United States of America,"['actor', 'character actor', 'film actor', 'television actor', 'songwriter', 'singer']"
Henry Fonda,57,M,5/16/1905,/m/07mqps,/m/0cj8x,1,Q19155,United States of America,"['television actor', 'film actor', 'naval officer', 'beekeeper', 'screenwriter', 'stage actor', 'television producer']"
Frank McHugh,57,M,1898-05-23,,/m/026hskb,1,Q82284,United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Bob Nolan,57,M,4/13/1908,,/m/04sz1q,1,Q888168,Canada,"['singer-songwriter', 'singer', 'musician', 'film actor', 'composer']"
Boris Karloff,56,M,1887-11-23,/m/0d7wh,/m/0hpz8,1,Q203219,United Kingdom,"['film actor', 'stage actor', 'actor']"
Ward Bond,56,M,4/9/1903,,/m/02hfsd,1,Q1280760,United States of America,"['actor', 'character actor', 'film actor', 'television actor']"
Donald Crisp,56,M,1882-07-27,,/m/03bdm4,1,Q367073,United Kingdom,"['actor', 'film director', 'writer', 'film actor', 'performing artist', 'screenwriter', 'film producer']"
Raymond Hatton,55,M,1887-07-07,,/m/0f3hp6,1,Q370280,United States of America,"['actor', 'film actor']"
Edward Arnold,54,M,1890-02-18,,/m/05c0t6,1,Q522803,United States of America,"['actor', 'autobiographer', 'stage actor', 'trade unionist', 'film actor']"
Peter Lorre,53,M,6/26/1904,/m/041rx,/m/0h326,1,Q78505,United States of America,"['film actor', 'film director', 'character actor', 'screenwriter', 'stage actor', 'actor', 'director', 'television actor']"
Jack Elam,53,M,11/13/1920,,/m/05v45k,1,Q500155,United States of America,"['television actor', 'film actor', 'actor']"
Keenan Wynn,52,M,7/27/1916,/m/033tf_,/m/04264n,1,Q946859,United States of America,"['actor', 'character actor', 'television actor', 'film actor', 'voice actor', 'stage actor']"
Andy Devine,52,M,10/7/1905,,/m/0156y1,1,Q386105,United States of America,"['film actor', 'actor', 'television actor']"
