Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_country_of_citizenship,actor_occupation
Dick Powell,51,M,11/14/1904,,/m/01d5vk,1,Q287977,United States of America,"['actor', 'singer', 'film director', 'film producer', 'jazz musician', 'television actor', 'businessperson', 'film actor', 'television producer']"
James Cagney,50,M,1899-07-17,/m/033tf_,/m/0432b,1,Q94041,United States of America,"['film actor', 'character actor', 'stage actor', 'television actor', 'trade unionist', 'film director']"
Van Johnson,50,M,8/25/1916,/m/07mqps,/m/049tjg,1,Q436638,United States of America,"['film actor', 'singer', 'stage actor', 'television actor', 'dancer']"
Bing Crosby,50,M,5/3/1903,/m/033tf_,/m/01vsy9_,1,Q72984,United States of America,"['actor', 'singer', 'jazz musician', 'screenwriter', 'film actor', 'radio personality', 'stage actor', 'poet']"
"Lon Chaney, Jr.",50,M,2/10/1906,,/m/011xjd,1,Q318261,United States of America,"['actor', 'character actor', 'film actor', 'television actor']"
Grant Withers,49,M,1/17/1905,,/m/0fj_nl,1,Q3115415,United States of America,"['actor', 'journalist', 'television actor', 'film producer']"
Béla Lugosi,48,M,1882-10-20,/m/08hpk0,/m/01l3j,1,Q34529,Hungary,"['film actor', 'stage actor', 'trade unionist', 'actor']"
Anthony Quinn,48,M,4/21/1915,/m/01g7zj,/m/0b_fw,1,Q83484,Mexico,"['film actor', 'sculptor', 'writer', 'film director', 'actor', 'television actor', 'painter']"
Randolph Scott,47,M,1898-01-23,,/m/014y_c,1,Q295984,United States of America,"['actor', 'screenwriter', 'film actor', 'film producer']"
William Powell,47,M,1892-07-29,,/m/012dr7,1,Q105960,United States of America,"['stage actor', 'film actor', 'television actor']"
Fred Astaire,46,M,1899-05-10,/m/01qhm_,/m/0h953,1,Q100937,United States of America,"['film actor', 'choreographer', 'singer', 'dancer', 'film producer', 'musician', 'screenwriter', 'stage actor', 'voice actor', 'television presenter', 'television actor', 'recording artist']"
Ernest Borgnine,46,M,1/24/1917,,/m/015d3h,1,Q102551,United States of America,"['actor', 'film actor', 'character actor', 'military officer', 'television actor', 'voice actor', 'stage actor']"
Harry Morgan,46,M,4/10/1915,,/m/02h0f3,1,Q355125,United States of America,"['film actor', 'screenwriter', 'stage actor', 'television actor', 'television director']"
Walter Pidgeon,46,M,1897-09-23,,/m/012j8z,1,Q350640,United States of America,"['singer', 'stage actor', 'television actor', 'trade unionist', 'film actor']"
Smiley Burnette,44,M,3/18/1911,,/m/05kj4d,1,Q3090745,United States of America,"['actor', 'singer', 'screenwriter', 'songwriter', 'television actor']"
Ginger Rogers,44,F,7/16/1911,,/m/0h7dd,1,Q95089,United States of America,"['film actor', 'playwright', 'dancer', 'stage actor', 'television actor', 'singer', 'writer']"
Barbara Stanwyck,44,F,7/16/1907,,/m/0bw6y,1,Q94002,United States of America,"['television actor', 'film actor', 'model', 'screenwriter', 'stage actor']"
Shirley Temple,43,F,4/23/1928,/m/02w7gg,/m/03d9v8,1,Q182580,United States of America,"['actor', 'film actor', 'singer', 'diplomat', 'child actor', 'dancer', 'television actor', 'politician']"
Franklin Pangborn,43,M,1889-01-23,,/m/079bl5,1,Q3082947,United States of America,"['actor', 'television actor', 'stage actor', 'film actor']"
Henry O'Neill,43,M,1891-08-10,,/m/090051,1,Q461949,United States of America,"['stage actor', 'film actor']"
Maureen O'Hara,43,F,8/17/1920,/m/03bkbh,/m/01j5tb,1,Q229276,Republic of Ireland,"['writer', 'autobiographer', 'singer', 'stage actor', 'film actor', 'television actor']"
Cary Grant,43,M,1/18/1904,,/m/09qh1,1,Q83410,United States of America,"['film actor', 'writer', 'autobiographer', 'stage actor', 'film producer', 'businessperson', 'comedian', 'circus performer', 'actor']"
Burt Lancaster,42,M,11/2/1913,,/m/01g42,1,Q160528,United States of America,"['film producer', 'screenwriter', 'film actor', 'film director', 'television actor', 'stage actor', 'circus performer', 'actor', 'acrobat']"
Olivia de Havilland,42,F,7/1/1916,/m/03vv99,/m/0m6x4,1,Q95068,United States of America,"['screenwriter', 'television actor', 'stage actor']"
George Kennedy,42,M,2/18/1925,,/m/02wrrm,1,Q298818,United States of America,"['film actor', 'stage actor', 'television actor', 'actor', 'military officer']"
Spencer Tracy,42,M,4/5/1900,/m/033tf_,/m/0cf2h,1,Q71275,United States of America,"['actor', 'stage actor', 'film actor']"
Doris Day,42,F,4/3/1924,,/m/029ql,1,Q104372,United States of America,"['film actor', 'singer', 'television actor', 'recording artist', 'actor']"
Orson Welles,42,M,5/6/1915,,/m/05kh_,1,Q24829,United States of America,"['film actor', 'theatrical director', 'film director', 'film producer', 'film editor', 'screenwriter', 'librettist', 'character actor', 'playwright', 'radio personality', 'magician', 'stage actor', 'theatrical producer', 'television actor', 'voice actor', 'actor', 'director']"
Judy Garland,42,F,6/10/1922,/m/033tf_,/m/0g10g,1,Q11637,United States of America,"['television actor', 'film actor', 'singer', 'actor', 'voice actor', 'radio personality', 'musician', 'stage actor']"
Richard Widmark,41,M,12/26/1914,,/m/02x08c,1,Q320036,United States of America,"['film actor', 'stage actor', 'television actor', 'film director']"
Esther Williams,41,F,8/8/1921,,/m/03mrpz,1,Q232395,United States of America,"['actor', 'autobiographer', 'television actor', 'film actor', 'swimmer']"
Kurt Russell,40,M,3/17/1951,,/m/01g969,1,Q103157,United States of America,"['baseball player', 'film actor', 'television actor', 'film producer', 'screenwriter']"
Roy Barcroft,40,M,9/7/1902,,/m/02qjwq_,1,Q945076,United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Robert Harron,39,M,1893-04-12,,/m/08k3dj,1,Q1344716,United States of America,"['actor', 'film actor']"
Ann Sheridan,39,F,2/21/1915,,/m/02l0kp,1,Q233848,United States of America,"['actor', 'television actor', 'film actor']"
Dorothy Lamour,38,F,12/10/1914,/m/033tf_,/m/01ty7_y,1,Q166420,United States of America,"['actor', 'singer', 'television actor', 'film actor', 'stage actor', 'radio personality', 'beauty pageant contestant', 'screenwriter']"
Harry Carey,38,M,1878-01-16,,/m/03fpwp,1,Q1344801,United States of America,"['film director', 'screenwriter', 'stage actor', 'film actor', 'actor']"
Jack Carson,38,M,10/27/1910,,/m/07crf5,1,Q1393256,Canada,"['actor', 'stage actor', 'film actor', 'television actor']"
Paul Fix,38,M,3/13/1901,,/m/0d2jdq,1,Q744357,United States of America,"['actor', 'screenwriter', 'television actor', 'film actor']"
Gene Kelly,38,M,8/23/1912,,/m/036jb,1,Q73089,United States of America,"['film actor', 'singer', 'film director', 'actor', 'choreographer', 'dancer', 'screenwriter', 'stage actor', 'television actor', 'film producer']"
Guy Kibbee,38,M,1882-03-06,,/m/0c1nd2,1,Q554094,United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Leon Ames,38,M,1/20/1902,,/m/02xgyk,1,Q326723,United States of America,"['actor', 'stage actor', 'television actor', 'trade unionist', 'film actor']"
Joan Blondell,37,F,8/30/1906,,/m/01kgg9,1,Q242729,United States of America,"['actor', 'beauty pageant contestant', 'model', 'stage actor', 'film actor']"
Tony Curtis,37,M,6/3/1925,/m/08hpk0,/m/0hwqg,1,Q162389,United States of America,"['film actor', 'writer', 'painter', 'television actor', 'actor']"
John Litel,37,M,1892-12-30,,/m/088v88,1,Q3181945,United States of America,"['actor', 'stage actor', 'film actor']"
Aubrey Smith,36,M,1863-07-21,,/m/04t52j,1,Q552813,United Kingdom,"['cricketer', 'stage actor', 'film actor']"
Claudette Colbert,36,F,9/13/1903,,/m/0gmtm,1,Q203819,France,"['film actor', 'stage actor', 'television actor']"
Spring Byington,35,F,1886-10-17,,/m/079pn3,1,Q267803,United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Billie Burke,35,F,1884-08-07,,/m/02gdtw,1,Q235639,United States of America,"['film actor', 'stage actor', 'television actor', 'radio personality', 'actor']"
Lana Turner,35,F,2/8/1921,,/m/018fmr,1,Q201034,United States of America,"['television actor', 'film actor', 'autobiographer', 'stage actor', 'model']"
Peter Lawford,35,M,9/7/1923,,/m/0202p_,1,Q345517,United Kingdom,"['film producer', 'film actor', 'television actor', 'manufacturer']"
Lucille Ball,34,F,8/6/1911,/m/07bch9,/m/04nw9,1,Q209662,United States of America,"['television actor', 'singer', 'model', 'film actor', 'comedian', 'television producer', 'film studio executive']"
Edgar Buchanan,34,M,3/20/1903,,/m/05qzxw,1,Q950397,United States of America,"['actor', 'dentist', 'television actor', 'film actor']"
George Tobias,34,M,7/14/1901,,/m/05knjt,1,Q43883,United States of America,"['stage actor', 'television actor', 'film actor', 'actor']"
Vincent Price,33,M,5/27/1911,,/m/013sg6,1,Q219640,United States of America,"['art collector', 'art historian', 'voice actor', 'writer', 'autobiographer', 'character actor', 'stage actor', 'film actor', 'television actor']"
Frank Morgan,32,M,1890-06-01,,/m/012dpb,1,Q200514,United States of America,"['character actor', 'stage actor', 'film actor']"
George Sanders,32,M,7/3/1906,,/m/02cj_f,1,Q296491,United Kingdom,"['songwriter', 'writer', 'composer', 'autobiographer', 'character actor', 'film actor', 'television actor', 'singer', 'stage actor']"
June Allyson,32,F,10/7/1917,,/m/01d6jf,1,Q232863,United States of America,"['film actor', 'dancer', 'stage actor', 'television actor', 'singer', 'actor']"
Lionel Atwill,32,M,1885-03-01,,/m/06ljy0,1,Q575668,United Kingdom,"['actor', 'character actor', 'stage actor', 'film actor']"
Dana Andrews,32,M,1/1/1909,,/m/014zn0,1,Q365633,United States of America,"['actor', 'film actor', 'television actor', 'trade unionist']"
Robert Young,32,M,2/22/1907,/m/03bkbh,/m/018qql,1,Q516390,United States of America,"['film actor', 'television actor', 'stage actor']"
"Noah Beery, Sr.",31,M,1882-01-17,,/m/05rm4w,1,Q452545,United States of America,"['actor', 'character actor', 'stage actor', 'film actor']"
Ben Johnson,31,M,6/13/1918,,/m/028lc8,1,Q349166,United States of America,"['television actor', 'film actor']"
Joel McCrea,31,M,11/5/1905,,/m/02mtxm,1,Q436784,United States of America,"['actor', 'film actor', 'television actor']"
Rock Hudson,31,M,11/17/1925,,/m/015dcj,1,Q184378,United States of America,"['television actor', 'film actor', 'stage actor', 'actor', 'HIV/AIDS activist', 'military personnel']"
Cesar Romero,31,M,2/15/1907,/m/04dbw3,/m/022q4j,1,Q443585,United States of America,"['character actor', 'film actor', 'television actor', 'stage actor', 'actor']"
Gene Autry,31,M,9/29/1907,,/m/017zng,1,Q342723,United States of America,"['actor', 'singer', 'singer-songwriter', 'musician', 'yodeler', 'screenwriter', 'television actor', 'radio personality', 'film actor']"
Martin Balsam,30,M,11/4/1919,/m/041rx,/m/034q3l,1,Q312107,United States of America,"['character actor', 'stage actor', 'film actor', 'television actor']"
Pat O'Brien,30,M,1899-11-11,/m/033tf_,/m/06y9_x,1,Q1790788,United States of America,"['actor', 'stage actor']"
Jean Hersholt,30,M,1886-07-12,/m/0dqqwy,/m/0hglv,1,Q359251,United States of America,"['film actor', 'actor', 'linguist', 'translator', 'film director']"
Claude Rains,30,M,1889-11-10,,/m/0h1q6,1,Q318734,United Kingdom,"['film actor', 'character actor', 'stage actor', 'television actor']"
Akim Tamiroff,30,M,1899-10-29,,/m/04jxlw,1,Q418424,Soviet Union,"['stage actor', 'film actor', 'actor']"
Lillian Gish,30,F,1893-10-14,,/m/01c2sl,1,Q104183,United States of America,"['film actor', 'film director', 'writer', 'autobiographer', 'screenwriter', 'stage actor', 'television actor', 'peace activist']"
Cedric Hardwicke,30,M,1893-02-19,,/m/017d3v,1,Q527735,United Kingdom,"['film director', 'film producer', 'stage actor', 'film actor', 'actor', 'television actor']"
Brian Donlevy,29,M,2/9/1901,,/m/03kd1c,1,Q912097,United States of America,"['stage actor', 'film actor', 'television actor', 'film producer', 'actor']"
Samuel S. Hinds,29,M,1875-04-04,,/m/05bdnpb,1,Q2750248,United States of America,"['actor', 'film actor']"
George Brent,29,M,1899-03-15,,/m/033htq,1,Q1124735,Republic of Ireland,"['actor', 'stage actor', 'television actor', 'film actor']"
Jerome Cowan,29,M,1897-10-06,,/m/06kq1h,1,Q3177416,United States of America,"['stage actor', 'film actor', 'television actor', 'actor']"
Adolphe Menjou,29,M,1890-02-18,,/m/012c6j,1,Q358379,United States of America,"['character actor', 'stage actor', 'film actor', 'television actor']"
Cyd Charisse,29,F,3/8/1922,,/m/039vv_,1,Q62558,United States of America,"['actor', 'ballet dancer', 'stage actor', 'television actor', 'film actor']"
Henry B. Walthall,29,M,1878-03-16,,/m/0bkrvh,1,Q661678,United States of America,"['stage actor', 'film actor']"
Ann Rutherford,28,F,11/2/1917,,/m/03ctbl,1,Q231704,United States of America,"['television actor', 'film actor', 'stage actor']"
Thomas Mitchell,28,M,1892-07-11,,/m/039xcr,1,Q317026,United States of America,"['screenwriter', 'playwright', 'character actor', 'television actor', 'stage actor', 'film actor', 'theatrical director']"
John Qualen,28,M,1899-12-08,/m/04f581,/m/07z586,1,Q1364339,United States of America,"['actor', 'film actor', 'television actor']"
Roddy McDowall,28,M,9/17/1928,,/m/015rhv,1,Q283988,United Kingdom,"['voice actor', 'film director', 'character actor', 'screenwriter', 'stage actor', 'film actor', 'television actor', 'actor', 'photographer', 'film producer']"
Glenn Ford,28,M,5/1/1916,/m/07bch9,/m/02_01w,1,Q212048,Canada,"['film actor', 'military officer', 'character actor', 'television actor']"
Charles Coburn,28,M,1877-06-19,,/m/03bgmn,1,Q350690,United States of America,"['actor', 'stage actor', 'film actor']"
Robert Montgomery,27,M,5/21/1904,,/m/034cj9,1,Q366956,United States of America,"['television actor', 'film actor', 'film director', 'stage actor', 'trade unionist', 'theatrical director', 'actor', 'manufacturer', 'film producer']"
Fredric March,27,M,1897-08-31,,/m/0h1_w,1,Q181819,United States of America,"['actor', 'character actor', 'stage actor', 'film actor', 'television actor']"
John 'Dusty' King,27,M,7/11/1909,,/m/05zmbvr,1,Q1700707,United States of America,"['actor', 'film actor', 'singer']"
Alice Faye,26,F,5/5/1915,/m/033tf_,/m/032xfz,1,Q254603,United States of America,"['film actor', 'actor', 'singer', 'stage actor', 'voice actor']"
Jane Darwell,26,F,1879-10-15,,/m/039nmy,1,Q230159,United States of America,"['film actor', 'stage actor']"
Maureen O'Sullivan,26,F,5/17/1911,,/m/01cqh7,1,Q230084,United States of America,"['stage actor', 'film actor', 'television actor']"
Royal Dano,26,M,11/16/1922,,/m/06_4b8,1,Q1344213,United States of America,"['actor', 'film actor', 'television actor']"
Alfred Hitchcock,26,M,1899-08-13,/m/02g7sp,/m/0j_c,1,Q7374,United Kingdom,"['film director', 'screenwriter', 'film producer', 'film editor', 'television producer', 'film actor', 'television director', 'cinematographer', 'director']"
Nat Pendleton,26,M,1895-08-09,,/m/033h24,1,Q1288004,United States of America,"['film actor', 'amateur wrestler']"
Ray Milland,25,M,1/3/1907,,/m/0f0p0,1,Q181774,United Kingdom,"['actor', 'film director', 'screenwriter', 'film actor', 'television actor', 'film producer', 'stage actor', 'television director']"
Johnny Weissmuller,25,M,6/2/1904,/m/0ffj5g,/m/04709,1,Q151284,United States of America,"['film actor', 'swimmer', 'actor', 'water polo player', 'television actor']"
Earl Dwire,25,M,1883-10-03,,/m/02w7qh1,1,Q5325828,United States of America,['actor']
S.Z. Sakall,25,M,1883-02-02,,/m/09k292,1,Q955183,Hungary,"['actor', 'screenwriter', 'stage actor', 'film actor']"
Joseph Cotten,25,M,5/15/1905,,/m/044bn,1,Q95148,United States of America,"['film actor', 'screenwriter', 'autobiographer', 'stage actor', 'television actor', 'radio personality']"
Telly Savalas,25,M,1/21/1922,/m/038723,/m/01m42d0,1,Q209471,United States of America,"['actor', 'singer', 'poker player', 'director', 'radio personality']"
Greta Garbo,25,F,9/18/1905,/m/06mvq,/m/0h14h,1,Q5443,Sweden,"['actor', 'film actor', 'stage actor']"
Karl Malden,24,M,3/22/1912,/m/0268d21,/m/01y8cr,1,Q94992,United States of America,"['television actor', 'film actor', 'stage actor', 'film director']"
Allen Jenkins,24,M,4/9/1900,,/m/04y2g4,1,Q2424447,United States of America,"['stage actor', 'film actor', 'television actor', 'voice actor']"
Reginald Denny,24,M,1891-11-20,,/m/08zdk2,1,Q1803090,United Kingdom,"['actor', 'boxer', 'stage actor', 'aircraft pilot', 'film actor', 'businessperson', 'television actor']"
Tully Marshall,24,M,1864-04-10,,/m/06mwbj,1,Q2063267,United States of America,"['stage actor', 'film actor', 'theatrical director']"
Edward Everett Horton,24,M,1886-03-18,,/m/0197p7,1,Q1292160,United States of America,"['stage actor', 'film actor', 'singer', 'television actor', 'voice actor', 'actor']"
Porter Hall,24,M,1888-09-19,,/m/09bx4t,1,Q3399241,United States of America,"['stage actor', 'film actor', 'television actor', 'actor']"
Mantan Moreland,24,M,9/3/1902,/m/0x67,/m/0ckhnl,1,Q1913548,United States of America,"['actor', 'comedian', 'stage actor', 'television actor', 'film actor']"
John Garfield,24,M,3/4/1913,,/m/013846,1,Q367053,United States of America,"['actor', 'character actor', 'stage actor', 'film actor']"
Duncan Renaldo,23,M,4/23/1904,,/m/05ddbw,1,Q5314585,Romania,"['actor', 'television actor', 'screenwriter', 'film producer']"
Douglass Dumbrille,23,M,1889-10-13,,/m/02mczq,1,Q3038059,Canada,['film actor']
Jim Backus,23,M,2/25/1913,,/m/01k76k,1,Q1236412,United States of America,"['actor', 'screenwriter', 'voice actor', 'writer', 'television actor', 'film actor']"
Alan Ladd,23,M,9/3/1913,,/m/02knnd,1,Q346280,United States of America,"['film actor', 'film producer', 'television actor', 'voice actor', 'television producer']"
Fay Holden,23,F,1893-09-26,,/m/04glbft,1,Q511274,United Kingdom,"['stage actor', 'film actor', 'actor']"
Charles Ruggles,23,M,1886-02-08,,/m/0337dn,1,Q934722,United States of America,"['stage actor', 'film actor', 'television actor', 'actor', 'musician']"
Charles Laughton,23,M,1899-07-01,,/m/0gpmp,1,Q55264,United Kingdom,"['theatrical director', 'film director', 'writer', 'film producer', 'film actor', 'screenwriter', 'stage actor', 'actor', 'television actor', 'director']"
Lee Marvin,23,M,2/19/1924,,/m/04n_g,1,Q76895,United States of America,"['film actor', 'actor', 'military personnel', 'character actor', 'television actor', 'stage actor']"
Debbie Reynolds,23,F,4/1/1932,/m/07hwkr,/m/01mmslz,1,Q263696,United States of America,"['singer', 'musician', 'writer', 'beauty pageant contestant', 'dancer', 'autobiographer', 'stage actor', 'film actor', 'television actor', 'voice actor', 'screenwriter']"
Al Bridge,23,M,1891-02-26,,/m/0gnkff,1,Q4703610,United States of America,['actor']
Regis Toomey,22,M,1898-08-13,,/m/088fdd,1,Q359446,United States of America,"['actor', 'stage actor', 'film actor']"
Jean Arthur,22,F,10/17/1900,,/m/018s7v,1,Q229338,United States of America,"['film actor', 'university teacher', 'stage actor', 'television actor']"
Sidney Toler,22,M,1874-04-28,,/m/06jv04,1,Q3290613,United States of America,"['screenwriter', 'stage actor', 'film actor', 'playwright', 'writer', 'theatrical director']"
L. Q. Jones,22,M,8/19/1927,,/m/05dqdk,1,Q934345,United States of America,"['film director', 'television actor', 'film actor', 'screenwriter', 'film producer']"
Eric Blore,22,M,1887-12-23,,/m/030czv,1,Q959404,United Kingdom,"['stage actor', 'film actor']"
Glenn Strange,22,M,1899-08-16,,/m/033hpb,1,Q1368948,United States of America,"['actor', 'singer', 'rancher', 'television actor', 'film score composer', 'film actor']"
Mary Gordon,22,F,1882-05-16,,/m/02z28y7,1,Q467968,United Kingdom,"['actor', 'film actor']"
Beulah Bondi,22,F,1888-05-03,,/m/04c98w,1,Q466440,United States of America,"['character actor', 'stage actor', 'film actor', 'television actor']"
Holmes Herbert,22,M,1882-07-30,,/m/03crsrm,1,Q1344901,United Kingdom,"['actor', 'film actor']"
"Sammy Davis, Jr.",22,M,12/8/1925,/m/0x67,/m/01bmlb,1,Q297816,United States of America,"['television actor', 'film actor', 'artist', 'autobiographer', 'jazz musician', 'stage actor', 'television presenter', 'singer', 'actor', 'dancer', 'recording artist', 'vaudeville performer']"
Marilyn Monroe,22,F,6/1/1926,/m/04f581,/m/04wqr,1,Q4616,United States of America,"['film actor', 'model', 'film producer', 'singer', 'autobiographer', 'Playboy Playmate', 'fashion model', 'actor']"
Franchot Tone,22,M,2/27/1905,,/m/012dtf,1,Q457229,United States of America,"['film director', 'stage actor', 'film actor', 'television actor', 'film producer']"
Norma Shearer,22,F,8/10/1902,/m/0g8_vp,/m/0gmv3,1,Q95019,Canada,"['model', 'stage actor', 'film actor', 'actor']"
