Community,1st Movie_genre,1st Movie_genre %,2nd Movie_genre,2nd Movie_genre %,3rd Movie_genre,3rd Movie_genre %,4th Movie_genre,4th Movie_genre %,5th Movie_genre,5th Movie_genre %,1st Movie_country,1st Movie_country %,2nd Movie_country,2nd Movie_country %,3rd Movie_country,3rd Movie_country %,1st Movie_language,1st Movie_language %,2nd Movie_language,2nd Movie_language %,3rd Movie_language,3rd Movie_language %,Average movie_release_year
11,Animation,0.14583333333333334,Japanese Movies,0.1362179487179487,Anime,0.12900641025641027,Action,0.08092948717948718,Fantasy,0.06971153846153846,Japan,0.75,United States of America,0.16176470588235295,Canada,0.011029411764705883,Japanese ,0.5449101796407185,English ,0.23952095808383234,,0.15269461077844312,1998.8433734939758
12,Drama,0.1637728765837635,Comedy,0.07508212106992022,World cinema,0.07179727827311122,Romance Film,0.05678085405912717,Thriller,0.04481464101360864,France,0.3325594892629135,Italy,0.23563551944283226,United States of America,0.1596053395240859,French ,0.3083916083916084,English ,0.3048951048951049,Italian ,0.19230769230769232,1977.455896927651
13,Comedy,0.1178561662564944,Black-and-white,0.08969100355482636,Drama,0.07629204265791632,Short Film,0.049767569045665844,Indie,0.04074377905386929,United States of America,0.9062857142857143,United Kingdom,0.04228571428571429,France,0.008,English ,0.7826961770623743,Silent film,0.07243460764587525,,0.04024144869215292,1953.9273399014778
14,Japanese Movies,0.1800981079187106,Drama,0.12473721093202522,World cinema,0.1051156271899089,Action/Adventure,0.04414856341976174,Action,0.042747021723896286,Japan,0.7822349570200573,United States of America,0.09742120343839542,Hong Kong,0.04871060171919771,Japanese ,0.6572769953051644,English ,0.17136150234741784,Standard Mandarin,0.03755868544600939,1967.3462783171522
15,Comedy,0.0955772734802054,Drama,0.09358953122411794,Thriller,0.04969355640218651,Action,0.047043233394069905,Action/Adventure,0.04074871624979294,United States of America,0.7168083714846305,United Kingdom,0.1092217135382603,France,0.03466317854807063,English ,0.7667342799188641,,0.05273833671399594,French ,0.038539553752535496,1992.8712059064808
16,Black-and-white,0.13289581624282198,Comedy,0.10500410172272355,Silent film,0.08244462674323216,Short Film,0.07506152584085315,Indie,0.06808859721082855,United States of America,0.9878472222222222,,,,,English ,0.763235294117647,Silent film,0.13970588235294118,,0.08088235294117647,1932.5333333333333
17,Black-and-white,0.1782905086523335,Comedy,0.16885159937073937,Short Film,0.12165705296276874,Slapstick,0.051389617199790245,Drama,0.04562139486103828,United States of America,0.9941060903732809,United Kingdom,0.003929273084479371,Switzerland,0.0019646365422396855,English ,0.8988970588235294,,0.04779411764705882,Silent film,0.027573529411764705,1943.9331941544885
18,Silent film,0.201036866359447,Black-and-white,0.18433179723502305,Short Film,0.15552995391705068,Drama,0.14112903225806453,Indie,0.1175115207373272,United States of America,0.9901719901719902,United Kingdom,0.004914004914004914,Soviet Union,0.002457002457002457,English ,0.5926544240400667,Silent film,0.32220367278797996,,0.08013355592654424,1918.0611246943765
19,Comedy,0.08837656099903939,Drama,0.06051873198847262,Horror,0.05763688760806916,Indie,0.05187319884726225,Action,0.04707012487992315,United States of America,0.896551724137931,United Kingdom,0.034482758620689655,France,0.021551724137931036,English ,0.8145161290322581,,0.0846774193548387,French ,0.020161290322580645,1992.7420814479638
20,Drama,0.15423901940755874,Thriller,0.05515832482124617,Action,0.045965270684371805,World cinema,0.04290091930541369,Comedy,0.04187946884576098,United States of America,0.3061797752808989,Sweden,0.29213483146067415,United Kingdom,0.07303370786516854,English ,0.39465875370919884,Swedish ,0.29376854599406527,French ,0.05341246290801187,1981.3034188034187
