Community,1st Movie_genre,1st Movie_genre %,2nd Movie_genre,2nd Movie_genre %,3rd Movie_genre,3rd Movie_genre %,4th Movie_genre,4th Movie_genre %,5th Movie_genre,5th Movie_genre %,1st Movie_country,1st Movie_country %,2nd Movie_country,2nd Movie_country %,3rd Movie_country,3rd Movie_country %,1st Movie_language,1st Movie_language %,2nd Movie_language,2nd Movie_language %,3rd Movie_language,3rd Movie_language %,Average movie_release_year
1,Drama,0.10791604274003198,Comedy,0.08598766528768305,Thriller,0.05012563132915408,Romance Film,0.04304459277683308,Action,0.03946600340092891,United States of America,0.7146909233176839,United Kingdom,0.09164710485133021,Germany,0.03902582159624413,English ,0.7638595432136029,,0.03913874635275179,Spanish ,0.03541603783076768,1995.083968511808
2,Drama,0.12155745489078823,Black-and-white,0.07554769623735141,Comedy,0.07191276156793398,Romance Film,0.051314798441235224,Action,0.040311752955431115,United States of America,0.8423384615384616,United Kingdom,0.07298461538461538,Italy,0.018461538461538463,English ,0.8155430711610487,,0.054775280898876406,Silent film,0.032303370786516857,1954.8681083967429
3,Drama,0.19732950223949972,World cinema,0.13166568072340065,Romance Film,0.09566466661032705,Bollywood,0.09101664835629172,Action,0.072762613031353,India,0.9267207537293902,United States of America,0.024339178225595393,United Kingdom,0.022768908662653756,Hindi ,0.6538862262971452,English ,0.07209835382371327,Tamil ,0.04750989789539487,1990.7807158119658
4,Drama,0.12424675943989248,Comedy,0.06949321541596219,Thriller,0.05098192222655742,Romance Film,0.043872198378636144,Action,0.03901677721420211,United States of America,0.43646089345091804,United Kingdom,0.3310683822466387,France,0.03758854994940003,English ,0.7487460815047022,,0.04874608150470219,French ,0.03699059561128527,1978.1341629399183
5,Drama,0.2604671661524901,Romance Film,0.11120904950785955,Action,0.10533274570295284,World cinema,0.09108270897605406,Musical,0.06522697223446453,India,0.9908814589665653,United States of America,0.002364066193853428,Canada,0.0016886187098953055,Tamil ,0.391268758526603,Telugu ,0.2695770804911323,Hindi ,0.14188267394270124,1993.1726114649682
6,Chinese Movies,0.17556120288013555,World cinema,0.09911054637865312,Action,0.09063955950868276,Martial Arts Film,0.0806861499364676,Action/Adventure,0.07581533248623465,Hong Kong,0.6260536398467433,China,0.16475095785440613,United States of America,0.07126436781609195,Cantonese,0.28929924242424243,Standard Mandarin,0.26515151515151514,Standard Cantonese,0.17518939393939395,1994.7707212055975
7,Comedy,0.09884743113889431,Family Film,0.08341472943934362,Animation,0.08312170345770659,Drama,0.054112131275639776,Short Film,0.04961906622387185,United States of America,0.828086164043082,Canada,0.037696768848384424,Germany,0.033140016570008285,English ,0.787819253438114,,0.09705304518664047,Spanish ,0.02043222003929273,1984.9938505203406
8,Drama,0.09724289460627968,Comedy,0.08087036643277341,Thriller,0.056134382309164364,Action,0.05386632645828904,Crime Fiction,0.044085335601389185,United States of America,0.7182461103253183,United Kingdom,0.06534653465346535,Germany,0.04016973125884017,English ,0.7333901192504259,Spanish ,0.062180579216354344,French ,0.034639409426462237,1996.7485611510792
9,Drama,0.12005828071879553,Comedy,0.0590577950461389,Thriller,0.049927149101505586,Romance Film,0.047595920349684316,Action,0.03525983487129675,United States of America,0.40646578782172005,United Kingdom,0.29033270558694285,Germany,0.05586942875078468,English ,0.6808193668528864,French ,0.05325884543761639,,0.035009310986964616,1997.8548553719008
10,Drama,0.28490622208990773,Action,0.11551056862161357,Romance Film,0.08603751116403692,Comedy,0.070556713307532,Thriller,0.06490026793688598,India,0.9926144756277696,Malayalam Language,0.0014771048744460858,Japan,0.0014771048744460858,Malayalam ,0.4911699779249448,Tamil ,0.21688741721854304,,0.1445916114790287,1997.5087173100871
