,Community,1st Movie_genre,1st Movie_genre %,2nd Movie_genre,2nd Movie_genre %,3rd Movie_genre,3rd Movie_genre %,4th Movie_genre,4th Movie_genre %,5th Movie_genre,5th Movie_genre %,1st Movie_country,1st Movie_country %,2nd Movie_country,2nd Movie_country %,3rd Movie_country,3rd Movie_country %,1st Movie_language,1st Movie_language %,2nd Movie_language,2nd Movie_language %,3rd Movie_language,3rd Movie_language %,Average movie_release_year
0,1,Drama,52.682443315574275,Comedy,41.9774501300954,Thriller,24.47032585801016,Romance Film,21.01350514186594,Action,19.26650972618015,United States of America,0.7146909233176839,United Kingdom,0.09164710485133021,Germany,0.03902582159624413,English Language,0.6801489083408794, English Language,0.08371063487272361,,0.03913874635275179,1995.083968511808
1,2,Drama,49.17859035506094,Black-and-white,30.564387917329093,Comedy,29.093799682034977,Romance Film,20.76046634870164,Action,16.30895601483837,United States of America,0.8423384615384616,United Kingdom,0.07298461538461538,Italy,0.018461538461538463,English Language,0.7420411985018727, English Language,0.07350187265917603,,0.054775280898876406,1954.8681083967429
2,3,Drama,58.53597392830283,World cinema,39.05740787164703,Romance Film,28.378039608924542,Bollywood,26.999247931812487,Action,21.584356981699674,India,0.9267207537293902,United States of America,0.024339178225595393,United Kingdom,0.022768908662653756,Hindi Language,0.6524275890810586, English Language,0.05376120025005209, Urdu Language,0.042300479266513855,1990.7807158119658
3,4,Drama,54.977939765969694,Comedy,30.750047957030503,Thriller,22.558987147515825,Romance Film,19.41300594667178,Action,17.264530980241705,United States of America,0.43646089345091804,United Kingdom,0.3310683822466387,France,0.03758854994940003,English Language,0.6636363636363637, English Language,0.08510971786833856,,0.04874608150470219,1978.1341629399183
4,5,Drama,52.92537313432836,Romance Film,22.597014925373134,Action,21.402985074626866,World cinema,18.507462686567163,Musical,13.253731343283581,India,0.9908814589665653,United States of America,0.002364066193853428,Canada,0.0016886187098953055,Tamil Language,0.36480218281036836,Telugu language,0.24774897680763983,Hindi Language,0.14160982264665758,1993.1726114649682
5,6,Chinese Movies,82.32373386295929,World cinema,46.4746772591857,Action,42.50248262164846,Martial Arts Film,37.835153922542204,Action/Adventure,35.55114200595829,Hong Kong,0.6260536398467433,China,0.16475095785440613,United States of America,0.07126436781609195, Cantonese,0.19365530303030304,Standard Mandarin,0.13541666666666666, Standard Mandarin,0.12973484848484848,1994.7707212055975
6,7,Comedy,44.601145879241955,Family Film,37.6377258704275,Animation,37.5055090348171,Drama,24.416042309387397,Short Film,22.38871749669458,United States of America,0.828086164043082,Canada,0.037696768848384424,Germany,0.033140016570008285,English Language,0.737524557956778,,0.09705304518664047, English Language,0.05029469548133595,1984.9938505203406
7,8,Drama,48.9126559714795,Comedy,40.677361853832444,Thriller,28.235294117647058,Action,27.094474153297682,Crime Fiction,22.174688057041,United States of America,0.7182461103253183,United Kingdom,0.06534653465346535,Germany,0.04016973125884017,English Language,0.6448040885860307, English Language,0.08858603066439523, Spanish Language,0.047984099943214086,1996.7485611510792
8,9,Drama,63.09341500765697,Comedy,31.03624298111281,Thriller,26.2378764675855,Romance Film,25.01276161306789,Action,18.529862174578867,United States of America,0.40646578782172005,United Kingdom,0.29033270558694285,Germany,0.05586942875078468,English Language,0.5608938547486033, English Language,0.11992551210428305,French Language,0.05027932960893855,1997.8548553719008
9,10,Drama,56.09613130128957,Action,22.743259085580306,Romance Film,16.94021101992966,Comedy,13.892145369284878,Thriller,12.778429073856975,India,0.9926144756277696,Malayalam Language,0.0014771048744460858,Japan,0.0014771048744460858,Malayalam Language,0.4828918322295806,Tamil Language,0.1926048565121413,,0.1445916114790287,1997.5087173100871
10,11,Animation,70.27027027027027,Japanese Movies,65.63706563706563,Anime,62.16216216216216,Action,38.996138996138995,Fantasy,33.59073359073359,Japan,0.75,United States of America,0.16176470588235295,Canada,0.011029411764705883,Japanese Language,0.5419161676646707, English Language,0.17664670658682635,,0.15269461077844312,1998.8433734939758
11,12,Drama,66.85823754789271,Comedy,30.65134099616858,World cinema,29.310344827586203,Romance Film,23.18007662835249,Thriller,18.29501915708812,France,0.3325594892629135,Italy,0.23563551944283226,United States of America,0.1596053395240859,French Language,0.3041958041958042,English Language,0.18321678321678322,Italian Language,0.16293706293706295,1977.455896927651
12,13,Comedy,52.36938031591738,Black-and-white,39.85419198055893,Drama,33.900364520048605,Short Film,22.114216281895505,Indie,18.1044957472661,United States of America,0.9062857142857143,United Kingdom,0.04228571428571429,France,0.008,English Language,0.6619718309859155, English Language,0.12072434607645875,Silent film,0.07243460764587525,1953.9273399014778
13,14,Japanese Movies,81.07255520504731,Drama,56.15141955835961,World cinema,47.3186119873817,Action/Adventure,19.873817034700316,Action,19.242902208201894,Japan,0.7822349570200573,United States of America,0.09742120343839542,Hong Kong,0.04871060171919771,Japanese Language,0.6384976525821596, English Language,0.1431924882629108,,0.028169014084507043,1967.3462783171522
14,15,Comedy,47.02526487367563,Drama,46.04726976365118,Thriller,24.449877750611247,Action,23.145884270578648,Action/Adventure,20.048899755501225,United States of America,0.7168083714846305,United Kingdom,0.1092217135382603,France,0.03466317854807063,English Language,0.6923597025016903, English Language,0.07437457741717377,,0.05273833671399594,1992.8712059064808
15,16,Black-and-white,56.05536332179931,Comedy,44.29065743944637,Silent film,34.77508650519031,Short Film,31.66089965397924,Indie,28.719723183391004,United States of America,0.9878472222222222,,,,,English Language,0.6191176470588236, English Language,0.14411764705882352,Silent film,0.13970588235294118,1932.5333333333333
16,17,Black-and-white,65.89147286821705,Comedy,62.4031007751938,Short Film,44.96124031007752,Slapstick,18.992248062015506,Drama,16.86046511627907,United States of America,0.9941060903732809,United Kingdom,0.003929273084479371,Switzerland,0.0019646365422396855,English Language,0.8602941176470589,,0.04779411764705882, English Language,0.03860294117647059,1943.9331941544885
