Freebase_actor_ID,connectivity,Community,Wikidata_ID,actor_country_of_citizenship,actor_occupation
/m/0f5xn,157,1,Q172678,United States of America,"['film actor', 'actor', 'film producer', 'voice actor', 'character actor', 'television actor', 'television producer']"
/m/028k57,128,1,Q312129,Canada,"['screenwriter', 'film actor', 'actor', 'film producer', 'film director', 'writer', 'musician', 'voice actor', 'character actor', 'songwriter', 'television producer', 'comedian', 'director']"
/m/01vy_v8,125,1,Q311319,United States of America,"['film director', 'actor', 'puppeteer', 'screenwriter', 'film actor', 'television actor', 'voice actor']"
/m/0pz91,123,1,Q132952,United States of America,"['actor', 'television actor', 'film actor', 'film producer', 'singer', 'screenwriter', 'musician', 'writer', 'comedian', 'guitarist', 'television producer', 'executive producer', 'composer', 'voice actor']"
/m/01wbg84,123,1,Q104061,United States of America,"['television actor', 'film actor', 'film director', 'film producer', 'character actor', 'screenwriter', 'television director', 'stage actor', 'voice actor', 'actor', 'firefighter']"
/m/03n08b,118,1,Q193212,United States of America,"['television actor', 'film actor', 'actor', 'film producer', 'voice actor']"
/m/0mdqp,114,1,Q47100,United States of America,"['screenwriter', 'film producer', 'actor', 'television actor', 'film actor', 'film director', 'voice actor', 'writer', 'character actor', 'comedian', 'director', 'manufacturer', 'Trekkie']"
/m/0gd9k,105,1,Q489831,United States of America,"['television actor', 'film actor', 'film director', 'actor', 'screenwriter', 'film producer', 'blogger', 'writer', 'film editor', 'television producer', 'podcaster']"
/m/032w8h,104,1,Q276525,United States of America,"['actor', 'film producer', 'writer', 'film actor', 'stage actor', 'television actor']"
/m/05txrz,101,1,Q220308,Canada,"['actor', 'film producer', 'writer', 'voice actor', 'screenwriter', 'film actor', 'television producer', 'film director', 'comedian', 'executive producer', 'television actor', 'director']"
/m/01swck,97,1,Q244234,United States of America,"['actor', 'film director', 'writer', 'screenwriter', 'character actor', 'stage actor', 'television actor', 'film actor', 'director', 'film producer', 'voice actor', 'theatrical director']"
/m/0169dl,97,1,Q175535,United States of America,"['film actor', 'screenwriter', 'film producer', 'writer', 'voice actor', 'actor', 'television producer', 'manufacturer', 'television actor', 'international forum participant']"
/m/073749,97,1,Q230278,United States of America,"['film actor', 'actor', 'television actor', 'voice actor']"
/m/085q5,95,1,Q311068,United States of America,"['actor', 'writer', 'voice actor', 'playwright', 'character actor', 'screenwriter', 'film actor', 'television actor', 'author']"
/m/06cgy,95,1,Q36949,United States of America,"['film director', 'film producer', 'film actor', 'voice actor', 'television producer', 'screenwriter', 'stage actor', 'actor', 'theatrical producer', 'manufacturer']"
/m/0bxtg,91,1,Q2263,United States of America,"['film actor', 'film director', 'film producer', 'writer', 'voice actor', 'screenwriter', 'composer', 'character actor', 'television actor', 'television director', 'television producer', 'actor', 'television presenter', 'executive producer', 'narrator', 'stage actor', 'comedian', 'short story writer', 'director']"
/m/01pcbg,90,1,Q449521,United States of America,"['comedian', 'film actor', 'television actor', 'voice actor', 'actor', 'television presenter']"
/m/018grr,86,1,Q218503,United States of America,"['comedian', 'film producer', 'writer', 'voice actor', 'screenwriter', 'character actor', 'film actor', 'television actor', 'television producer']"
/m/01mvth,85,1,Q468028,United States of America,"['singer', 'puppeteer', 'voice actor', 'actor']"
/m/0p8r1,84,1,Q374093,United States of America,"['voice actor', 'stage actor', 'film actor', 'television actor', 'screenwriter', 'actor']"
/m/019vgs,84,1,Q208408,United States of America,"['comedian', 'film director', 'voice actor', 'film actor', 'television actor', 'racing automobile driver', 'television presenter']"
/m/01vsn38,83,1,Q483907,United States of America,"['actor', 'singer', 'screenwriter', 'voice actor', 'musician', 'singer-songwriter', 'comedian', 'music producer', 'film producer', 'film actor', 'television actor', 'guitarist', 'composer', 'YouTuber', 'television producer']"
/m/034np8,81,1,Q4960,United States of America,"['television actor', 'film actor', 'actor', 'skateboarder', 'entrepreneur', 'comedian', 'voice actor', 'screenwriter', 'film producer', 'businessperson', 'television producer', 'character actor']"
/m/0fby2t,77,1,Q313388,United States of America,"['comedian', 'film producer', 'voice actor', 'screenwriter', 'writer', 'television actor', 'film actor', 'actor', 'film director']"
/m/0738b8,76,1,Q362332,United States of America,"['screenwriter', 'voice actor', 'comedian', 'film director', 'television presenter', 'singer', 'film producer', 'television producer', 'stage actor', 'journalist']"
/m/0151w_,75,1,Q483118,United States of America,"['actor', 'screenwriter', 'film director', 'film producer', 'television actor', 'film actor', 'poker player', 'writer', 'voice actor', 'executive producer', 'manufacturer', 'television producer']"
/m/028d4v,75,1,Q233365,United States of America,"['television actor', 'film actor', 'actor', 'screenwriter', 'voice actor', 'songwriter', 'singer', 'film director', 'improviser']"
/m/08vr94,74,1,Q231382,United States of America,"['comedian', 'film actor', 'film producer', 'voice actor', 'screenwriter', 'television actor']"
/m/03l3jy,74,1,Q312705,United States of America,"['actor', 'television actor', 'film actor', 'singer', 'musician', 'teacher']"
/m/0534nr,74,1,Q2761980,United States of America,"['puppeteer', 'voice actor', 'actor']"
/m/059j1m,73,1,Q164328,United States of America,"['comedian', 'television actor', 'screenwriter', 'film actor', 'voice actor', 'singer', 'musician']"
/m/01q_ph,71,1,Q161916,United States of America,"['film actor', 'comedian', 'screenwriter', 'voice actor', 'character actor', 'television actor', 'film producer']"
