Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description
Robert Harron,39,M,1893-04-12,,/m/08k3dj,1,Q1344716,actor (1893-1920)
Ann Sheridan,39,F,1915-02-21,,/m/02l0kp,1,Q233848,American actress (1915-1967)
Dorothy Lamour,38,F,1914-12-10,/m/033tf_,/m/01ty7_y,1,Q166420,American actress and singer (1914-1996)
Harry Carey,38,M,1878-01-16,,/m/03fpwp,1,Q1344801,American actor
Jack Carson,38,M,1910-10-27,,/m/07crf5,1,Q1393256,Canadian-born American-based film actor
Paul Fix,38,M,1901-03-13,,/m/0d2jdq,1,Q744357,"American film and television character actor, best known for his work in Westerns (1901-1983)"
Gene Kelly,38,M,1912-08-23,,/m/036jb,1,Q73089,"American dancer, actor, singer, director, producer and choreographer (1912-1996)"
Guy Kibbee,38,M,1882-03-06,,/m/0c1nd2,1,Q554094,actor (1882-1956)
Leon Ames,38,M,1902-01-20,,/m/02xgyk,1,Q326723,actor (1902-1993)
Joan Blondell,37,F,1906-08-30,,/m/01kgg9,1,Q242729,American actress (1906–1979)
Tony Curtis,37,M,1925-06-03,/m/08hpk0,/m/0hwqg,1,Q162389,American actor (1925–2010)
John Litel,37,M,1892-12-30,,/m/088v88,1,Q3181945,1892–1972; American film and television actor
Aubrey Smith,36,M,1863-07-21,,/m/04t52j,1,Q552813,British actor (1863-1948)
Claudette Colbert,36,F,1903-09-13,,/m/0gmtm,1,Q203819,French-American actress (1903–1996)
Spring Byington,35,F,1886-10-17,,/m/079pn3,1,Q267803,American actress (1886-1971)
Billie Burke,35,F,1884-08-07,,/m/02gdtw,1,Q235639,American stage and film actress (1884-1970)
Lana Turner,35,F,1921-02-08,,/m/018fmr,1,Q201034,American actress (1921–1995)
Peter Lawford,35,M,1923-09-07,,/m/0202p_,1,Q345517,British-American actor (1923-1984)
Lucille Ball,34,F,1911-08-06,/m/07bch9,/m/04nw9,1,Q209662,American actress (1911–1989)
Edgar Buchanan,34,M,1903-03-20,,/m/05qzxw,1,Q950397,actor (1903-1979)
George Tobias,34,M,1901-07-14,,/m/05knjt,1,Q43883,actor
Vincent Price,33,M,1911-05-27,,/m/013sg6,1,Q219640,American actor (1911-1993)
Frank Morgan,32,M,1890-06-01,,/m/012dpb,1,Q200514,actor (1890-1949)
George Sanders,32,M,1906-07-03,,/m/02cj_f,1,Q296491,British actor (1906-1972)
June Allyson,32,F,1917-10-07,,/m/01d6jf,1,Q232863,American actress (1917-2006)
Lionel Atwill,32,M,1885-03-01,,/m/06ljy0,1,Q575668,English and American actor (1885-1946)
Dana Andrews,32,M,1909-01-01,,/m/014zn0,1,Q365633,American actor (1909–1992)
Robert Young,32,M,1907-02-22,/m/03bkbh,/m/018qql,1,Q516390,American actor (1907-1998)
"Noah Beery, Sr.",31,M,1882-01-17,,/m/05rm4w,1,Q452545,American actor (1882-1946)
Ben Johnson,31,M,1918-06-13,,/m/028lc8,1,Q349166,American film actor (1918-1996)
Joel McCrea,31,M,1905-11-05,,/m/02mtxm,1,Q436784,American actor (1905–1990)
Rock Hudson,31,M,1925-11-17,,/m/015dcj,1,Q184378,American actor (1925–1985)
Cesar Romero,31,M,1907-02-15,/m/04dbw3,/m/022q4j,1,Q443585,American actor (1907–1994)
Gene Autry,31,M,1907-09-29,,/m/017zng,1,Q342723,American actor and singer (1907-1998)
Martin Balsam,30,M,1919-11-04,/m/041rx,/m/034q3l,1,Q312107,actor from the United States (1919-1996)
Pat O'Brien,30,M,1899-11-11,/m/033tf_,/m/06y9_x,1,Q1790788,American film actor (1899-1983)
Jean Hersholt,30,M,1886-07-12,/m/0dqqwy,/m/0hglv,1,Q1423389,river in Germany
Claude Rains,30,M,1889-11-10,,/m/0h1q6,1,Q159758,English painter and draftsman (c.1775–1851)
Akim Tamiroff,30,M,1899-10-29,,/m/04jxlw,1,Q418424,Russian-American movie actor (1899-1972)
Lillian Gish,30,F,1893-10-14,,/m/01c2sl,1,Q104183,American actress (1893-1993)
Cedric Hardwicke,30,M,1893-02-19,,/m/017d3v,1,Q527735,English actor (1893-1964)
Brian Donlevy,29,M,1901-02-09,,/m/03kd1c,1,Q912097,American actor (1901-1972)
Samuel S. Hinds,29,M,1875-04-04,,/m/05bdnpb,1,Q2750248,actor (1875-1948)
George Brent,29,M,1899-03-15,,/m/033htq,1,Q1124735,Irish-American actor (1899-1979)
Jerome Cowan,29,M,1897-10-06,,/m/06kq1h,1,Q3177416,US actor
Adolphe Menjou,29,M,1890-02-18,,/m/012c6j,1,Q358379,American actor (1890-1963)
Cyd Charisse,29,F,1922-03-08,,/m/039vv_,1,Q62558,American dancer and actress (1921-2008)
Henry B. Walthall,29,M,1878-03-16,,/m/0bkrvh,1,Q661678,American actor (1878–1936)
Ann Rutherford,28,F,1917-11-02,,/m/03ctbl,1,Q231704,actress
Thomas Mitchell,28,M,1892-07-11,,/m/039xcr,1,Q317026,"American actor, playwright and screenwriter (1892-1962)"
John Qualen,28,M,1899-12-08,/m/04f581,/m/07z586,1,Q1364339,Canadian-American actor of Norwegian origin (1899-1987)
Roddy McDowall,28,M,1928-09-17,,/m/015rhv,1,Q283988,British actor (1928–1998)
Glenn Ford,28,M,1916-05-01,/m/07bch9,/m/02_01w,1,Q212048,Canadian-American actor (1916-2006)
Charles Coburn,28,M,1877-06-19,,/m/03bgmn,1,Q350690,American film and theater actor (1877-1961)
Robert Montgomery,27,M,1904-05-21,,/m/034cj9,1,Q366956,American actor (1904–1981)
Fredric March,27,M,1897-08-31,,/m/0h1_w,1,Q159758,English painter and draftsman (c.1775–1851)
John 'Dusty' King,27,M,1909-07-11,,/m/05zmbvr,1,Q1700707,American singer and film actor (1909-1987)
Alice Faye,26,F,1915-05-05,/m/033tf_,/m/032xfz,1,Q254603,"american actress, singer (1915-1998)"
Jane Darwell,26,F,1879-10-15,,/m/039nmy,1,Q230159,actress (1879-1967)
Maureen O'Sullivan,26,F,1911-05-17,,/m/01cqh7,1,Q230084,Irish-American actress (1911–1998)
Royal Dano,26,M,1922-11-16,,/m/06_4b8,1,Q1344213,American actor (1922-1994)
Alfred Hitchcock,26,M,1899-08-13,/m/02g7sp,/m/0j_c,1,Q159758,English painter and draftsman (c.1775–1851)
Nat Pendleton,26,M,1895-08-09,,/m/033h24,1,Q1288004,Olympic wrestler and actor
Ray Milland,25,M,1907-01-03,,/m/0f0p0,1,Q2494102,Unicode block (U+0F00-0FFF)
Johnny Weissmuller,25,M,1904-06-02,/m/0ffj5g,/m/04709,1,Q83477151,
Earl Dwire,25,M,1883-10-03,,/m/02w7qh1,1,Q5325828,actor (1883-1940)
S.Z. Sakall,25,M,1883-02-02,,/m/09k292,1,Q955183,Hungarian actor
Joseph Cotten,25,M,1905-05-15,,/m/044bn,1,Q95148,American actor (1905–1994)
Telly Savalas,25,M,1922-01-21,/m/038723,/m/01m42d0,1,Q1053,chemical element with symbol Mo and atomic number 42
Greta Garbo,25,F,1905-09-18,/m/06mvq,/m/0h14h,1,Q28105320,painting by M.H. Mackenzie
Karl Malden,24,M,1912-03-22,/m/0268d21,/m/01y8cr,1,Q94992,American actor
Allen Jenkins,24,M,1900-04-09,,/m/04y2g4,1,Q2424447,"Film, stage and television actor"
Reginald Denny,24,M,1891-11-20,,/m/08zdk2,1,Q1803090,British actor (1891-1967)
Tully Marshall,24,M,1864-04-10,,/m/06mwbj,1,Q2063267,actor
Edward Everett Horton,24,M,1886-03-18,,/m/0197p7,1,Q1292160,American actor (1886-1970)
Porter Hall,24,M,1888-09-19,,/m/09bx4t,1,Q3399241,American actor (1888-1953)
Mantan Moreland,24,M,1902-09-03,/m/0x67,/m/0ckhnl,1,Q1913548,actor (1902-1973)
John Garfield,24,M,1913-03-04,,/m/013846,1,Q367053,American actor (1913-1952)
Duncan Renaldo,23,M,1904-04-23,,/m/05ddbw,1,Q5314585,American actor (1904-1980)
Douglass Dumbrille,23,M,1889-10-13,,/m/02mczq,1,Q3038059,Canadian-American actor
Jim Backus,23,M,1913-02-25,,/m/01k76k,1,Q1236412,"American radio, television, film, and voice actor (1913-1989)"
Alan Ladd,23,M,1913-09-03,,/m/02knnd,1,Q346280,American actor (1913–1964)
Fay Holden,23,F,1893-09-26,,/m/04glbft,1,Q511274,American actress (1893-1973)
Charles Ruggles,23,M,1886-02-08,,/m/0337dn,1,Q934722,American actor (1886-1970)
Charles Laughton,23,M,1899-07-01,,/m/0gpmp,1,Q4639358,former Militia within the United States
Lee Marvin,23,M,1924-02-19,,/m/04n_g,1,Q14763008,"progression through the phases of the mitotic cell cycle, the most common eukaryotic cell cycle, which canonically comprises four successive phases called G1, S, G2, and M and includes replication of genome and subsequent segregation of chromosomes"
Debbie Reynolds,23,F,1932-04-01,/m/07hwkr,/m/01mmslz,1,Q263696,"American actress, singer, and dancer (1932-2016)"
Al Bridge,23,M,1891-02-26,,/m/0gnkff,1,Q4703610,American actor (1891-1957)
Regis Toomey,22,M,1898-08-13,,/m/088fdd,1,Q359446,actor (1898-1991)
Jean Arthur,22,F,1900-10-17,,/m/018s7v,1,Q229338,actress (1900-1991)
Sidney Toler,22,M,1874-04-28,,/m/06jv04,1,Q3290613,"American actor, playwright and theatre director (1874-1947)"
L. Q. Jones,22,M,1927-08-19,,/m/05dqdk,1,Q934345,American actor (1927-2022)
Eric Blore,22,M,1887-12-23,,/m/030czv,1,Q959404,actor
Glenn Strange,22,M,1899-08-16,,/m/033hpb,1,Q1368948,actor (1899–1973)
Mary Gordon,22,F,1882-05-16,,/m/02z28y7,1,Q467968,Scottish actress
Beulah Bondi,22,F,1888-05-03,,/m/04c98w,1,Q466440,American actress
Holmes Herbert,22,M,1882-07-30,,/m/03crsrm,1,Q1344901,English actor (1882-1956)
"Sammy Davis, Jr.",22,M,1925-12-08,/m/0x67,/m/01bmlb,1,Q297816,American singer and actor (1925–1990)
Marilyn Monroe,22,F,1926-06-01,/m/04f581,/m/04wqr,1,Q4616,American actress (1926–1962)
Franchot Tone,22,M,1905-02-27,,/m/012dtf,1,Q457229,American stage and film actor (1905-1968)
Norma Shearer,22,F,1902-08-10,/m/0g8_vp,/m/0gmv3,1,Q95019,Canadian-American actress (1902–1983)
Arthur Loft,21,M,1897-05-25,,/m/04cxryj,1,Q4799547,actor (1897-1947)
Ida Lupino,21,F,1918-02-04,,/m/02c7lt,1,Q148669,British actress
Kay Francis,21,F,1905-01-13,,/m/02_wnq,1,Q268110,actress (1905-1968)
"Noah Beery, Jr.",21,M,1913-08-10,,/m/05rms6,1,Q1361050,American actor (1913-1994)
Agnes Moorehead,21,F,1900-12-06,,/m/01csrl,1,Q231221,American actress (1900-1974)
Richard Jaeckel,21,M,1926-10-10,,/m/030jrr,1,Q1530639,American actor (1926-1997)
Dennis Hoey,21,M,1893-03-30,,/m/05h5dlr,1,Q3023171,British film actor (1893-1960)
Henry Daniell,21,M,1894-03-05,,/m/089bcy,1,Q1369906,English actor (1894-1963)
Sammy McKim,21,M,1924-12-20,,/m/02x2csl,1,Q3470883,actor (1924-2004)
Virginia Mayo,20,F,1920-11-30,,/m/03y66q,1,Q1843,element with the atomic number of 66
Stanley Ridges,20,M,1890-07-17,,/m/02qtzlf,1,Q3496859,American actor
Robert Ryan,20,M,1909-11-11,,/m/03xx3m,1,Q350680,American actor (1909-1973)
Henry Stephenson,20,M,1871-04-16,,/m/0krskg,1,Q1607291,British stage and film actor (1871-1956)
Red Skelton,20,M,1913-07-18,,/m/01t9qj_,1,Q1277029,American comedian (1913–1997)
William Wellman Jr.,20,M,1937-01-20,,/m/05pxprq,1,Q2054519,"actor, born 1937"
LeRoy Mason,20,M,1903-07-02,,/m/02w9y3v,1,Q3220136,American film actor (1903-1947)
Charles West,20,M,1885-11-30,,/m/03gr97h,1,Q738864,American film actor of the silent era (1885-1943)
John Barrymore,20,M,1882-02-15,,/m/0ht_k,1,Q95034,"American actor of stage, screen and radio (1882-1942)"
Barton MacLane,19,M,1902-12-25,,/m/06k743,1,Q577621,"actor, playwright, screenwriter"
Betty Grable,19,F,1916-12-18,,/m/01ty7ll,1,Q233852,"American model, actor, singer and dancer (1916-1973)"
John Payne,19,M,1912-05-23,,/m/05vfcj,1,Q723415,American actor 1912-1989
Gene Tierney,19,F,1920-11-19,,/m/018sgr,1,Q230555,American actress (1920–1991)
Laraine Day,19,F,1920-10-13,,/m/08b8vd,1,Q1744,"American singer, songwriter and actress (born 1958)"
Emma Dunn,19,F,1875-02-26,,/m/03cs3js,1,Q458513,actress
Una O'Connor,19,F,1880-10-23,,/m/04ykv3,1,Q448534,actress
Claire McDowell,19,F,1877-11-02,,/m/03c1x11,1,Q459580,actress (1877-1966)
Alan Mowbray,19,M,1896-08-18,,/m/05p3dw,1,Q1758264,British actor
Sydney Greenstreet,19,M,1879-12-27,,/m/01kgfy,1,Q656507,British-American actor (1879-1954)
Paul Newman,19,M,1925-01-26,/m/027n1m6,/m/0d6d2,1,Q7003,"commune in Côte-d'Or, France"
Slim Pickens,19,M,1919-06-29,,/m/0hn04,1,Q1277039,"American rodeo performer, film and television actor"
R.G. Armstrong,19,M,1917-04-07,,/m/026ylcz,1,Q1399617,American actor (1917-2012)
John McIntire,19,M,1907-06-27,,/m/0781h4,1,Q1277934,American character actor (1907-1991)
Fred Williamson,19,M,1938-03-05,/m/0x67,/m/03vrv9,1,Q1452569,American football player and actor
Monte Blue,19,M,1887-01-11,,/m/0dxdcm,1,Q1945758,American actor (1887–1963)
Jack Oakie,18,M,1903-11-12,,/m/04x946,1,Q545846,American actor (1903–1978)
Leslie Nielsen,18,M,1926-02-11,/m/0cnvdq1,/m/0fb7c,1,Q37156,American multinational technology and consulting corporation
Charles Boyer,18,M,1899-08-28,,/m/0p9gg,1,Q105987,French actor (1899-1978)
Harry Woods,18,M,1889-05-05,,/m/02x28by,1,Q5673513,American actor (1889-1968)
Kathleen Freeman,18,F,1919-02-17,,/m/06nrh1,1,Q272505,American actress (1919-2001)
Lew Ayres,18,M,1908-12-28,,/m/01386m,1,Q444371,American actor (1908–1996)
H. B. Warner,18,M,1875-10-26,,/m/04jxzf,1,Q1562547,English film and theatre actor
Walter Kingsford,18,M,1882-09-20,,/m/03hg8jx,1,Q3280243,British actor (1882-1958)
Shelley Winters,18,F,1920-08-18,/m/041rx,/m/019l68,1,Q202144,American actress (1920-2006)
Warren William,18,M,1894-12-02,,/m/08_pbl,1,Q950857,Broadway and Hollywood actor
Mary Astor,18,F,1906-05-03,/m/063k3h,/m/02qhm3,1,Q5438869,human settlement in United Kingdom
Edward G. Robinson,18,M,1893-12-12,/m/041rx,/m/017g2y,1,Q83812,Romanian-American actor (1893-1973)
Kirk Douglas,18,M,1916-12-09,/m/09kr66,/m/0j582,1,Q104027,American stage and film actor (1916-2020)
Jane Frazee,18,F,1918-07-18,,/m/04cyg9f,1,Q6152241,actress (1918-1985)
Eve Arden,18,F,1908-04-30,,/m/02tl9,1,Q255630,actress (1908-1990)
Elmer,18,M,,,/m/0gbmnd_,1,,
William Bendix,18,M,1906-01-14,,/m/02l_n5,1,Q2005629,American actor (1906–1964)
Anne Baxter,18,F,1923-05-07,,/m/019l3m,1,Q164683,"German painter, draftsman, printmaker, sculptor and writer (1884-1950)"
Sara Haden,18,F,1899-11-17,,/m/0fjfvp,1,Q325661,American actress
Shirley MacLaine,17,F,1934-04-24,,/m/01w1kyf,1,Q95026,American actress
James Garner,17,M,1928-04-07,/m/07hwkr,/m/016kkx,1,Q108510,American film and television actor (1928–2014)
Louis Calhern,17,M,1895-02-19,,/m/014kbz,1,Q573399,American stage and screen actor (1895-1956)
Victor McLaglen,17,M,1886-12-10,,/m/0cbf0,1,Q329577,British-American actor (1886-1959)
Ronald Reagan,17,M,1911-02-06,/m/07bch9,/m/06c0j,1,Q9200,Early Christian apostle and missionary (c. AD 5 – c. 64/65)
Joe Flynn,17,M,1924-11-08,,/m/0cyjzn,1,Q713071,American actor (1924-1974)
Jack Warden,17,M,1920-09-18,,/m/02wr6r,1,Q373968,American actor (1920–2006)
J. Carrol Naish,17,M,1896-01-21,/m/033tf_,/m/04f6fn,1,Q642876,actor (1896-1973)
Hattie McDaniel,17,F,1895-06-10,/m/0x67,/m/0mzhd,1,Q228904,American actress (1895-1952)
Kathryn Grayson,17,F,1922-02-09,,/m/01wd_n5,1,Q234117,American actress and coloratura soprano
Frederick Worlock,17,M,1886-12-14,,/m/0k1jvq,1,Q3087184,British actor
Strother Martin,17,M,1919-03-26,,/m/021wjl,1,Q965482,American actor (1919-1980)
Bob Denver,17,M,1935-01-09,,/m/018hgr,1,Q747723,actor (1935-2005)
Red Buttons,17,M,1919-02-05,/m/041rx,/m/02_k_x,1,Q1001,Indian nationalist leader and nonviolence advocate (1869–1948)
Maurice Chevalier,16,M,1888-09-12,,/m/01jqtg9,1,Q106001,"French actor, singer and entertainer"
Gene Lockhart,16,M,1891-07-18,,/m/04qyk7,1,Q1370701,actor (1891-1957)
Tom London,16,M,1889-08-24,,/m/03zrvd,1,Q7816621,American actor (1889-1963)
John Gilbert,16,M,,,/m/0h8km99,1,Q970,sovereign state situated on an archipelago in the Indian Ocean off the eastern coast of Africa
Dennis Morgan,16,M,1908-12-20,/m/06mvq,/m/0br9vt,1,Q956920,American actor (1908-1994)
Patrick Wayne,16,M,1939-07-15,,/m/0990gy,1,Q2001604,American actor
Mae Marsh,16,F,1894-11-09,,/m/0735gw,1,Q153332,American actress
Dawn Wells,16,F,1938-10-18,,/m/03815q,1,Q470007,American actress (1938-2020)
Josephine Crowell,16,F,1859-01-11,,/m/03c397f,1,Q3138866,actress
William Frawley,16,M,1887-02-26,,/m/01m5lf,1,Q1290248,American actor (1887-1966)
George Raft,16,M,1901-09-26,,/m/033hqf,1,Q436187,American actor
Fred MacMurray,16,M,1908-08-30,,/m/0ly5n,1,Q356309,American actor and singer (1908-1991)
Greer Garson,16,F,1904-09-29,/m/07bch9,/m/0h1s0,1,Q69488,empathogen and stimulant
Spottiswoode Aitken,16,M,1868-04-16,,/m/0krxq4,1,Q1230515,actor
Tyrone Power,16,M,1914-05-05,/m/06v41q,/m/02s58t,1,Q309989,American actor (1914-1958)
Robert Mitchum,16,M,1917-08-06,,/m/0m0hw,1,Q16472,American actor (1917-1997)
Joan Leslie,16,F,1925-01-26,,/m/056jp0,1,Q260318,American actress (1925-2015)
Warren Oates,16,M,1928-07-05,,/m/049tcm,1,Q709133,american actor (1928-1982)
Bruce Cabot,15,M,1904-04-20,,/m/0445xn,1,Q373500,actor (1904-1972)
Grant Mitchell,15,M,1874-06-17,,/m/03c35wj,1,Q3115403,American actor (1874-1957)
George Zucco,15,M,1886-01-11,,/m/0dnp29,1,Q1508673,actor (1886-1960)
Keye Luke,15,M,1904-06-18,,/m/01y2rq,1,Q609316,American actor (1904-1991)
Van Heflin,15,M,1910-12-13,,/m/03bggl,1,Q350678,actor (1908-1971)
Virginia Grey,15,F,1917-03-22,,/m/03lmwp,1,Q273118,American actress (1917-2004)
Ava Gardner,15,F,1922-12-24,/m/09lz9zx,/m/0btyl,1,Q164487,American actress (1922–1990)
Paul Harvey,15,M,1882-09-10,,/m/03csbls,1,Q3371436,American actor
Fay Wray,15,F,1907-09-15,,/m/02ysx,1,Q266694,actress (1907-2004)
Hugh Herbert,15,M,1887-08-10,,/m/0f45yl,1,Q613705,"Comedian, film actor"
"Alan Hale, Jr.",15,M,1921-03-08,,/m/02qn4z,1,Q640093,American actor
Robert Warwick,15,M,1878-10-09,,/m/07mw50,1,Q555672,actor (1878-1964)
Jill Ireland,15,F,1936-04-24,,/m/05vy5j,1,Q175571,English actress (1936–1990)
