Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description
John Wayne,286,M,1907-05-26,/m/063k3h,/m/043gj,1,Q40531,American actor (1907–1979)
Roy Rogers,242,M,1911-11-05,/m/07hwkr,/m/01mc6h1,1,Q367129,American actor and singer (1911-1998)
George 'Gabby' Hayes,130,M,1885-05-07,,/m/03l6jx,1,Q1277973,American actor (1885-1969)
Basil Rathbone,121,M,1892-06-13,,/m/0hwd8,1,Q336865,English actor (1892–1967)
John Carradine,114,M,1906-02-05,,/m/021mlp,1,Q312878,American actor (1906-1988)
James Stewart,112,M,1908-05-20,/m/07bch9,/m/044qx,1,Q102462,American actor (1908-1997)
"Alan Hale, Sr.",107,M,1892-02-10,,/m/02t1wn,1,Q1971717,"actor, film director (1892-1950)"
Lionel Barrymore,106,M,1878-04-28,,/m/0hnkp,1,Q295593,"American actor, director, screenwriter (1878-1954)"
Trigger,103,M,,,/m/05pg6q,1,Q614508,horse
Mickey Rooney,98,M,1920-09-23,/m/07bch9,/m/0m0nq,1,Q4977050,musicologist
Max Terhune,92,M,1891-02-12,,/m/02x2bzt,1,Q3302338,actor (1891-1973)
Humphrey Bogart,91,M,1899-12-25,/m/07mqps,/m/03n6r,1,Q69488,empathogen and stimulant
Myrna Loy,89,F,1905-08-02,,/m/012vf6,1,Q105941,American actress (1905–1993)
Nigel Bruce,85,M,1895-02-04,,/m/02l99f,1,Q728050,British actor (1895-1953)
Lewis Stone,83,M,1879-11-15,,/m/011_r9,1,Q457220,actor from the United States (1879-1953)
Clark Gable,77,M,1901-02-01,,/m/0bkmf,1,Q71243,American actor (1901-1960)
Errol Flynn,73,M,1909-06-20,/m/033tf_,/m/0hnp7,1,Q93188,Australian actor (1909-1959)
"Ray ""Crash"" Corrigan",73,M,1902-02-14,,/m/02849b0,1,Q442728,American actor (1902-1976)
Bette Davis,72,F,1908-04-05,,/m/0h1m9,1,Q159758,English painter and draftsman (c.1775–1851)
Yakima Canutt,72,M,1895-11-29,,/m/03fcvf,1,Q563665,"American rodeo rider, actor and stuntman (1895–1986)"
Gary Cooper,72,M,1901-05-07,,/m/0c2tf,1,Q93957,American actor (1901-1961)
Bob Hope,69,M,1903-05-29,,/m/015cbq,1,Q94081,"American comedian, actor, singer and dancer (1903–2003)"
Dean Martin,68,M,1917-06-07,/m/0xnvg,/m/013qvn,1,Q215359,"American singer, actor, comedian and film producer (1917-1995)"
Joan Crawford,67,F,1905-03-23,,/m/0cgbf,1,Q40475,American actress (190?–1977)
Charles Bronson,67,M,1921-11-03,/m/0ffkb4,/m/01dkpb,1,Q36105,American actor (1921–2003)
William Demarest,63,M,1892-02-27,,/m/0436zq,1,Q1395104,actor
Robert Livingston,63,M,1904-12-09,,/m/09c_46,1,Q7346945,American actor (1904-1988)
Reginald Owen,61,M,1887-08-05,,/m/0b47ns,1,Q577687,British actor (1887-1972)
Jerry Lewis,61,M,1926-03-16,/m/09kr66,/m/0427y,1,Q294927,"American actor, comedian and filmmaker"
Frank Sinatra,60,M,1915-12-12,/m/0xnvg,/m/02_fj,1,Q712,island sovereign state in Oceania
Wallace Beery,60,M,1885-04-01,,/m/01200d,1,Q322179,American actor (1885-1949)
Dale Evans,60,F,1912-10-31,,/m/02jq56,1,Q438048,"American actress, singer and writer"
"Harry Carey, Jr.",58,M,1921-05-16,,/m/05cr66,1,Q1397312,American actor (1921–2012)
Walter Brennan,57,M,1894-07-25,,/m/02f6s3,1,Q219521,American actor (1894-1974)
Henry Fonda,57,M,1905-05-16,/m/07mqps,/m/0cj8x,1,Q19155,American actor (1905–1982)
Frank McHugh,57,M,1898-05-23,,/m/026hskb,1,Q82284,American actor (1898-1981)
Bob Nolan,57,M,1908-04-13,,/m/04sz1q,1,Q888168,Canadian-American singer and actor
Boris Karloff,56,M,1887-11-23,/m/0d7wh,/m/0hpz8,1,Q203219,English actor (1887–1969)
Ward Bond,56,M,1903-04-09,,/m/02hfsd,1,Q1280760,American film actor (1903-1960)
Donald Crisp,56,M,1882-07-27,,/m/03bdm4,1,Q367073,English film actor (1882-1974)
Raymond Hatton,55,M,1887-07-07,,/m/0f3hp6,1,Q370280,American silent film actor (1887-1971)
Edward Arnold,54,M,1890-02-18,,/m/05c0t6,1,Q522803,American actor (1890–1956)
Peter Lorre,53,M,1904-06-26,/m/041rx,/m/0h326,1,Q78505,Hungarian-American actor (1904–1964)
Jack Elam,53,M,1920-11-13,,/m/05v45k,1,Q500155,American film and television actor (1920-2003)
Keenan Wynn,52,M,1916-07-27,/m/033tf_,/m/04264n,1,Q946859,American actor (1916-1986)
Andy Devine,52,M,1905-10-07,,/m/0156y1,1,Q386105,actor (1905-1977)
Dick Powell,51,M,1904-11-14,,/m/01d5vk,1,Q287977,American actor
James Cagney,50,M,1899-07-17,/m/033tf_,/m/0432b,1,Q94041,American actor and dancer (1899–1986)
Van Johnson,50,M,1916-08-25,/m/07mqps,/m/049tjg,1,Q436638,American film and television actor and dancer
Bing Crosby,50,M,1903-05-03,/m/033tf_,/m/01vsy9_,1,Q72984,American singer and actor (1903–1977)
"Lon Chaney, Jr.",50,M,1906-02-10,,/m/011xjd,1,Q318261,American actor (1906-1973)
Grant Withers,49,M,1905-01-17,,/m/0fj_nl,1,Q190804,"museum in Amsterdam, Netherlands"
Béla Lugosi,48,M,1882-10-20,/m/08hpk0,/m/01l3j,1,Q1541,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
Anthony Quinn,48,M,1915-04-21,/m/01g7zj,/m/0b_fw,1,Q94910611,
Randolph Scott,47,M,1898-01-23,,/m/014y_c,1,Q295984,American actor (1898–1987)
William Powell,47,M,1892-07-29,,/m/012dr7,1,Q105960,American actor
Fred Astaire,46,M,1899-05-10,/m/01qhm_,/m/0h953,1,Q558241,song by Aura Dione
Ernest Borgnine,46,M,1917-01-24,,/m/015d3h,1,Q102551,American actor (1917-2012)
Harry Morgan,46,M,1915-04-10,,/m/02h0f3,1,Q159758,English painter and draftsman (c.1775–1851)
Walter Pidgeon,46,M,1897-09-23,,/m/012j8z,1,Q350640,Canadian actor (1897-1984)
Smiley Burnette,44,M,1911-03-18,,/m/05kj4d,1,Q3090745,American country music performer and comedic actor (1911-1967)
Ginger Rogers,44,F,1911-07-16,,/m/0h7dd,1,Q2610799,Turkish sports club (volleyball)
Barbara Stanwyck,44,F,1907-07-16,,/m/0bw6y,1,Q94002,American actress (1907-1990)
Shirley Temple,43,F,1928-04-23,/m/02w7gg,/m/03d9v8,1,Q37156,American multinational technology and consulting corporation
Franklin Pangborn,43,M,1889-01-23,,/m/079bl5,1,Q3082947,actor (1889-1958)
Henry O'Neill,43,M,1891-08-10,,/m/090051,1,Q461949,American film actor
Maureen O'Hara,43,F,1920-08-17,/m/03bkbh,/m/01j5tb,1,Q1541,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
Cary Grant,43,M,1904-01-18,,/m/09qh1,1,Q83410,British-American actor (1904-1986)
Burt Lancaster,42,M,1913-11-02,,/m/01g42,1,Q1541,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
Olivia de Havilland,42,F,1916-07-01,/m/03vv99,/m/0m6x4,1,Q159758,English painter and draftsman (c.1775–1851)
George Kennedy,42,M,1925-02-18,,/m/02wrrm,1,Q298818,American actor (1925-2016)
Spencer Tracy,42,M,1900-04-05,/m/033tf_,/m/0cf2h,1,Q69488,empathogen and stimulant
Doris Day,42,F,1924-04-03,,/m/029ql,1,Q104372,American actress and singer (1922–2019)
Orson Welles,42,M,1915-05-06,,/m/05kh_,1,Q104902464,1964 studio album by Hank Locklin
Judy Garland,42,F,1922-06-10,/m/033tf_,/m/0g10g,1,Q410546,chemical compound
Richard Widmark,41,M,1914-12-26,,/m/02x08c,1,Q320036,American actor (1914-2008)
Esther Williams,41,F,1921-08-08,,/m/03mrpz,1,Q232395,American swimmer and actress (1921–2013)
Kurt Russell,40,M,1951-03-17,,/m/01g969,1,Q103157,American actor (born 1951)
Roy Barcroft,40,M,1902-09-07,,/m/02qjwq_,1,Q945076,American actor (1902-1969)
