movie_index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3333,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3837,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4231,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4726,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4728,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4729,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4730,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5224,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5313,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5729,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7906,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9294,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
9835,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10487,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
11988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
11992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
11993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
11994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
12001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
12004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
13901,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16782,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17920,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
18996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19701,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
19715,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20669,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20786,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21180,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22216,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22751,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24653,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25506,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26541,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
27079,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27097,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27098,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28269,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29782,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30007,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
30327,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
30524,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30581,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
31556,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31557,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33270,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39311,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41528,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41881,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42222,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42293,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42361,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42886,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42993,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1
43452,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
43566,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
44210,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44437,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44752,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45242,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45481,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45772,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50744,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
50793,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
50957,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0
51888,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
52389,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
52390,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52549,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
53085,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53964,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
54166,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
54173,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
55447,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
55495,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55601,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
57585,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60293,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61061,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61074,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61169,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61186,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61481,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61483,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61484,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
