Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id
John Wayne,286,M,1907-05-26,/m/063k3h,/m/043gj,1,Q40531
Roy Rogers,242,M,1911-11-05,/m/07hwkr,/m/01mc6h1,1,Q367129
George 'Gabby' Hayes,130,M,1885-05-07,,/m/03l6jx,1,Q1277973
Basil Rathbone,121,M,1892-06-13,,/m/0hwd8,1,Q336865
John Carradine,114,M,1906-02-05,,/m/021mlp,1,Q312878
James Stewart,112,M,1908-05-20,/m/07bch9,/m/044qx,1,Q102462
"Alan Hale, Sr.",107,M,1892-02-10,,/m/02t1wn,1,Q1971717
Lionel Barrymore,106,M,1878-04-28,,/m/0hnkp,1,Q295593
Trigger,103,M,,,/m/05pg6q,1,Q614508
Mickey Rooney,98,M,1920-09-23,/m/07bch9,/m/0m0nq,1,Q4977050
Max Terhune,92,M,1891-02-12,,/m/02x2bzt,1,Q3302338
Humphrey Bogart,91,M,1899-12-25,/m/07mqps,/m/03n6r,1,Q69488
Myrna Loy,89,F,1905-08-02,,/m/012vf6,1,Q105941
Nigel Bruce,85,M,1895-02-04,,/m/02l99f,1,Q728050
Lewis Stone,83,M,1879-11-15,,/m/011_r9,1,Q457220
Clark Gable,77,M,1901-02-01,,/m/0bkmf,1,Q71243
Errol Flynn,73,M,1909-06-20,/m/033tf_,/m/0hnp7,1,Q93188
"Ray ""Crash"" Corrigan",73,M,1902-02-14,,/m/02849b0,1,Q442728
Bette Davis,72,F,1908-04-05,,/m/0h1m9,1,Q159758
Yakima Canutt,72,M,1895-11-29,,/m/03fcvf,1,Q563665
Gary Cooper,72,M,1901-05-07,,/m/0c2tf,1,Q93957
Bob Hope,69,M,1903-05-29,,/m/015cbq,1,Q94081
Dean Martin,68,M,1917-06-07,/m/0xnvg,/m/013qvn,1,Q215359
Joan Crawford,67,F,1905-03-23,,/m/0cgbf,1,Q40475
Charles Bronson,67,M,1921-11-03,/m/0ffkb4,/m/01dkpb,1,Q36105
William Demarest,63,M,1892-02-27,,/m/0436zq,1,Q1395104
Robert Livingston,63,M,1904-12-09,,/m/09c_46,1,Q7346945
Reginald Owen,61,M,1887-08-05,,/m/0b47ns,1,Q577687
Jerry Lewis,61,M,1926-03-16,/m/09kr66,/m/0427y,1,Q294927
Frank Sinatra,60,M,1915-12-12,/m/0xnvg,/m/02_fj,1,Q712
Wallace Beery,60,M,1885-04-01,,/m/01200d,1,Q322179
Dale Evans,60,F,1912-10-31,,/m/02jq56,1,Q438048
"Harry Carey, Jr.",58,M,1921-05-16,,/m/05cr66,1,Q1397312
Walter Brennan,57,M,1894-07-25,,/m/02f6s3,1,Q219521
Henry Fonda,57,M,1905-05-16,/m/07mqps,/m/0cj8x,1,Q19155
Frank McHugh,57,M,1898-05-23,,/m/026hskb,1,Q82284
Bob Nolan,57,M,1908-04-13,,/m/04sz1q,1,Q888168
Boris Karloff,56,M,1887-11-23,/m/0d7wh,/m/0hpz8,1,Q203219
Ward Bond,56,M,1903-04-09,,/m/02hfsd,1,Q1280760
Donald Crisp,56,M,1882-07-27,,/m/03bdm4,1,Q367073
Raymond Hatton,55,M,1887-07-07,,/m/0f3hp6,1,Q370280
Edward Arnold,54,M,1890-02-18,,/m/05c0t6,1,Q522803
Peter Lorre,53,M,1904-06-26,/m/041rx,/m/0h326,1,Q78505
Jack Elam,53,M,1920-11-13,,/m/05v45k,1,Q500155
Keenan Wynn,52,M,1916-07-27,/m/033tf_,/m/04264n,1,Q946859
Andy Devine,52,M,1905-10-07,,/m/0156y1,1,Q386105
Dick Powell,51,M,1904-11-14,,/m/01d5vk,1,Q287977
James Cagney,50,M,1899-07-17,/m/033tf_,/m/0432b,1,Q94041
Van Johnson,50,M,1916-08-25,/m/07mqps,/m/049tjg,1,Q436638
Bing Crosby,50,M,1903-05-03,/m/033tf_,/m/01vsy9_,1,Q72984
"Lon Chaney, Jr.",50,M,1906-02-10,,/m/011xjd,1,Q318261
Grant Withers,49,M,1905-01-17,,/m/0fj_nl,1,Q190804
Béla Lugosi,48,M,1882-10-20,/m/08hpk0,/m/01l3j,1,Q1541
Anthony Quinn,48,M,1915-04-21,/m/01g7zj,/m/0b_fw,1,Q94910611
Randolph Scott,47,M,1898-01-23,,/m/014y_c,1,Q295984
William Powell,47,M,1892-07-29,,/m/012dr7,1,Q105960
Fred Astaire,46,M,1899-05-10,/m/01qhm_,/m/0h953,1,Q558241
Ernest Borgnine,46,M,1917-01-24,,/m/015d3h,1,Q102551
Harry Morgan,46,M,1915-04-10,,/m/02h0f3,1,Q159758
Walter Pidgeon,46,M,1897-09-23,,/m/012j8z,1,Q350640
Smiley Burnette,44,M,1911-03-18,,/m/05kj4d,1,Q3090745
Ginger Rogers,44,F,1911-07-16,,/m/0h7dd,1,Q2610799
Barbara Stanwyck,44,F,1907-07-16,,/m/0bw6y,1,Q94002
Shirley Temple,43,F,1928-04-23,/m/02w7gg,/m/03d9v8,1,Q37156
Franklin Pangborn,43,M,1889-01-23,,/m/079bl5,1,Q3082947
Henry O'Neill,43,M,1891-08-10,,/m/090051,1,Q461949
Maureen O'Hara,43,F,1920-08-17,/m/03bkbh,/m/01j5tb,1,Q1541
Cary Grant,43,M,1904-01-18,,/m/09qh1,1,Q83410
Burt Lancaster,42,M,1913-11-02,,/m/01g42,1,Q1541
Olivia de Havilland,42,F,1916-07-01,/m/03vv99,/m/0m6x4,1,Q159758
George Kennedy,42,M,1925-02-18,,/m/02wrrm,1,Q298818
Spencer Tracy,42,M,1900-04-05,/m/033tf_,/m/0cf2h,1,Q69488
Doris Day,42,F,1924-04-03,,/m/029ql,1,Q104372
Orson Welles,42,M,1915-05-06,,/m/05kh_,1,Q104902464
Judy Garland,42,F,1922-06-10,/m/033tf_,/m/0g10g,1,Q410546
Richard Widmark,41,M,1914-12-26,,/m/02x08c,1,Q320036
Esther Williams,41,F,1921-08-08,,/m/03mrpz,1,Q232395
Kurt Russell,40,M,1951-03-17,,/m/01g969,1,Q103157
Roy Barcroft,40,M,1902-09-07,,/m/02qjwq_,1,Q945076
Robert Harron,39,M,1893-04-12,,/m/08k3dj,1,Q1344716
Ann Sheridan,39,F,1915-02-21,,/m/02l0kp,1,Q233848
Dorothy Lamour,38,F,1914-12-10,/m/033tf_,/m/01ty7_y,1,Q166420
Harry Carey,38,M,1878-01-16,,/m/03fpwp,1,Q1344801
Jack Carson,38,M,1910-10-27,,/m/07crf5,1,Q1393256
Paul Fix,38,M,1901-03-13,,/m/0d2jdq,1,Q744357
Gene Kelly,38,M,1912-08-23,,/m/036jb,1,Q73089
Guy Kibbee,38,M,1882-03-06,,/m/0c1nd2,1,Q554094
Leon Ames,38,M,1902-01-20,,/m/02xgyk,1,Q326723
Joan Blondell,37,F,1906-08-30,,/m/01kgg9,1,Q242729
Tony Curtis,37,M,1925-06-03,/m/08hpk0,/m/0hwqg,1,Q162389
John Litel,37,M,1892-12-30,,/m/088v88,1,Q3181945
Aubrey Smith,36,M,1863-07-21,,/m/04t52j,1,Q552813
