Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id
Claudette Colbert,36,F,1903-09-13,,/m/0gmtm,1,Q203819
Spring Byington,35,F,1886-10-17,,/m/079pn3,1,Q267803
Billie Burke,35,F,1884-08-07,,/m/02gdtw,1,Q235639
Lana Turner,35,F,1921-02-08,,/m/018fmr,1,Q201034
Peter Lawford,35,M,1923-09-07,,/m/0202p_,1,Q345517
Lucille Ball,34,F,1911-08-06,/m/07bch9,/m/04nw9,1,Q209662
Edgar Buchanan,34,M,1903-03-20,,/m/05qzxw,1,Q950397
George Tobias,34,M,1901-07-14,,/m/05knjt,1,Q43883
Vincent Price,33,M,1911-05-27,,/m/013sg6,1,Q219640
Frank Morgan,32,M,1890-06-01,,/m/012dpb,1,Q200514
George Sanders,32,M,1906-07-03,,/m/02cj_f,1,Q296491
June Allyson,32,F,1917-10-07,,/m/01d6jf,1,Q232863
Lionel Atwill,32,M,1885-03-01,,/m/06ljy0,1,Q575668
Dana Andrews,32,M,1909-01-01,,/m/014zn0,1,Q365633
Robert Young,32,M,1907-02-22,/m/03bkbh,/m/018qql,1,Q516390
"Noah Beery, Sr.",31,M,1882-01-17,,/m/05rm4w,1,Q452545
Ben Johnson,31,M,1918-06-13,,/m/028lc8,1,Q349166
Joel McCrea,31,M,1905-11-05,,/m/02mtxm,1,Q436784
Rock Hudson,31,M,1925-11-17,,/m/015dcj,1,Q184378
Cesar Romero,31,M,1907-02-15,/m/04dbw3,/m/022q4j,1,Q443585
Gene Autry,31,M,1907-09-29,,/m/017zng,1,Q342723
Martin Balsam,30,M,1919-11-04,/m/041rx,/m/034q3l,1,Q312107
Pat O'Brien,30,M,1899-11-11,/m/033tf_,/m/06y9_x,1,Q1790788
Jean Hersholt,30,M,1886-07-12,/m/0dqqwy,/m/0hglv,1,Q1423389
Claude Rains,30,M,1889-11-10,,/m/0h1q6,1,Q159758
Akim Tamiroff,30,M,1899-10-29,,/m/04jxlw,1,Q418424
Lillian Gish,30,F,1893-10-14,,/m/01c2sl,1,Q104183
Cedric Hardwicke,30,M,1893-02-19,,/m/017d3v,1,Q527735
Brian Donlevy,29,M,1901-02-09,,/m/03kd1c,1,Q912097
Samuel S. Hinds,29,M,1875-04-04,,/m/05bdnpb,1,Q2750248
George Brent,29,M,1899-03-15,,/m/033htq,1,Q1124735
Jerome Cowan,29,M,1897-10-06,,/m/06kq1h,1,Q3177416
Adolphe Menjou,29,M,1890-02-18,,/m/012c6j,1,Q358379
Cyd Charisse,29,F,1922-03-08,,/m/039vv_,1,Q62558
Henry B. Walthall,29,M,1878-03-16,,/m/0bkrvh,1,Q661678
Ann Rutherford,28,F,1917-11-02,,/m/03ctbl,1,Q231704
Thomas Mitchell,28,M,1892-07-11,,/m/039xcr,1,Q317026
John Qualen,28,M,1899-12-08,/m/04f581,/m/07z586,1,Q1364339
Roddy McDowall,28,M,1928-09-17,,/m/015rhv,1,Q283988
Glenn Ford,28,M,1916-05-01,/m/07bch9,/m/02_01w,1,Q212048
Charles Coburn,28,M,1877-06-19,,/m/03bgmn,1,Q350690
Robert Montgomery,27,M,1904-05-21,,/m/034cj9,1,Q366956
Fredric March,27,M,1897-08-31,,/m/0h1_w,1,Q159758
John 'Dusty' King,27,M,1909-07-11,,/m/05zmbvr,1,Q1700707
Alice Faye,26,F,1915-05-05,/m/033tf_,/m/032xfz,1,Q254603
Jane Darwell,26,F,1879-10-15,,/m/039nmy,1,Q230159
Maureen O'Sullivan,26,F,1911-05-17,,/m/01cqh7,1,Q230084
Royal Dano,26,M,1922-11-16,,/m/06_4b8,1,Q1344213
Alfred Hitchcock,26,M,1899-08-13,/m/02g7sp,/m/0j_c,1,Q159758
Nat Pendleton,26,M,1895-08-09,,/m/033h24,1,Q1288004
Ray Milland,25,M,1907-01-03,,/m/0f0p0,1,Q2494102
Johnny Weissmuller,25,M,1904-06-02,/m/0ffj5g,/m/04709,1,Q83477151
Earl Dwire,25,M,1883-10-03,,/m/02w7qh1,1,Q5325828
S.Z. Sakall,25,M,1883-02-02,,/m/09k292,1,Q955183
Joseph Cotten,25,M,1905-05-15,,/m/044bn,1,Q95148
Telly Savalas,25,M,1922-01-21,/m/038723,/m/01m42d0,1,Q1053
Greta Garbo,25,F,1905-09-18,/m/06mvq,/m/0h14h,1,Q28105320
Karl Malden,24,M,1912-03-22,/m/0268d21,/m/01y8cr,1,Q94992
Allen Jenkins,24,M,1900-04-09,,/m/04y2g4,1,Q2424447
Reginald Denny,24,M,1891-11-20,,/m/08zdk2,1,Q1803090
Tully Marshall,24,M,1864-04-10,,/m/06mwbj,1,Q2063267
Edward Everett Horton,24,M,1886-03-18,,/m/0197p7,1,Q1292160
Porter Hall,24,M,1888-09-19,,/m/09bx4t,1,Q3399241
Mantan Moreland,24,M,1902-09-03,/m/0x67,/m/0ckhnl,1,Q1913548
John Garfield,24,M,1913-03-04,,/m/013846,1,Q367053
Duncan Renaldo,23,M,1904-04-23,,/m/05ddbw,1,Q5314585
Douglass Dumbrille,23,M,1889-10-13,,/m/02mczq,1,Q3038059
Jim Backus,23,M,1913-02-25,,/m/01k76k,1,Q1236412
Alan Ladd,23,M,1913-09-03,,/m/02knnd,1,Q346280
Fay Holden,23,F,1893-09-26,,/m/04glbft,1,Q511274
Charles Ruggles,23,M,1886-02-08,,/m/0337dn,1,Q934722
Charles Laughton,23,M,1899-07-01,,/m/0gpmp,1,Q4639358
Lee Marvin,23,M,1924-02-19,,/m/04n_g,1,Q14763008
Debbie Reynolds,23,F,1932-04-01,/m/07hwkr,/m/01mmslz,1,Q263696
Al Bridge,23,M,1891-02-26,,/m/0gnkff,1,Q4703610
Regis Toomey,22,M,1898-08-13,,/m/088fdd,1,Q359446
Jean Arthur,22,F,1900-10-17,,/m/018s7v,1,Q229338
Sidney Toler,22,M,1874-04-28,,/m/06jv04,1,Q3290613
L. Q. Jones,22,M,1927-08-19,,/m/05dqdk,1,Q934345
Eric Blore,22,M,1887-12-23,,/m/030czv,1,Q959404
Glenn Strange,22,M,1899-08-16,,/m/033hpb,1,Q1368948
Mary Gordon,22,F,1882-05-16,,/m/02z28y7,1,Q467968
Beulah Bondi,22,F,1888-05-03,,/m/04c98w,1,Q466440
Holmes Herbert,22,M,1882-07-30,,/m/03crsrm,1,Q1344901
"Sammy Davis, Jr.",22,M,1925-12-08,/m/0x67,/m/01bmlb,1,Q297816
Marilyn Monroe,22,F,1926-06-01,/m/04f581,/m/04wqr,1,Q4616
Franchot Tone,22,M,1905-02-27,,/m/012dtf,1,Q457229
Norma Shearer,22,F,1902-08-10,/m/0g8_vp,/m/0gmv3,1,Q95019
Arthur Loft,21,M,1897-05-25,,/m/04cxryj,1,Q4799547
Ida Lupino,21,F,1918-02-04,,/m/02c7lt,1,Q148669
Kay Francis,21,F,1905-01-13,,/m/02_wnq,1,Q268110
"Noah Beery, Jr.",21,M,1913-08-10,,/m/05rms6,1,Q1361050
Agnes Moorehead,21,F,1900-12-06,,/m/01csrl,1,Q231221
Richard Jaeckel,21,M,1926-10-10,,/m/030jrr,1,Q1530639
Dennis Hoey,21,M,1893-03-30,,/m/05h5dlr,1,Q3023171
Henry Daniell,21,M,1894-03-05,,/m/089bcy,1,Q1369906
Sammy McKim,21,M,1924-12-20,,/m/02x2csl,1,Q3470883
Virginia Mayo,20,F,1920-11-30,,/m/03y66q,1,Q1843
Stanley Ridges,20,M,1890-07-17,,/m/02qtzlf,1,Q3496859
Robert Ryan,20,M,1909-11-11,,/m/03xx3m,1,Q350680
Henry Stephenson,20,M,1871-04-16,,/m/0krskg,1,Q1607291
Red Skelton,20,M,1913-07-18,,/m/01t9qj_,1,Q1277029
William Wellman Jr.,20,M,1937-01-20,,/m/05pxprq,1,Q2054519
LeRoy Mason,20,M,1903-07-02,,/m/02w9y3v,1,Q3220136
Charles West,20,M,1885-11-30,,/m/03gr97h,1,Q738864
John Barrymore,20,M,1882-02-15,,/m/0ht_k,1,Q95034
Barton MacLane,19,M,1902-12-25,,/m/06k743,1,Q577621
Betty Grable,19,F,1916-12-18,,/m/01ty7ll,1,Q233852
John Payne,19,M,1912-05-23,,/m/05vfcj,1,Q723415
Gene Tierney,19,F,1920-11-19,,/m/018sgr,1,Q230555
Laraine Day,19,F,1920-10-13,,/m/08b8vd,1,Q1744
Emma Dunn,19,F,1875-02-26,,/m/03cs3js,1,Q458513
Una O'Connor,19,F,1880-10-23,,/m/04ykv3,1,Q448534
Claire McDowell,19,F,1877-11-02,,/m/03c1x11,1,Q459580
Alan Mowbray,19,M,1896-08-18,,/m/05p3dw,1,Q1758264
Sydney Greenstreet,19,M,1879-12-27,,/m/01kgfy,1,Q656507
Paul Newman,19,M,1925-01-26,/m/027n1m6,/m/0d6d2,1,Q7003
Slim Pickens,19,M,1919-06-29,,/m/0hn04,1,Q1277039
R.G. Armstrong,19,M,1917-04-07,,/m/026ylcz,1,Q1399617
John McIntire,19,M,1907-06-27,,/m/0781h4,1,Q1277934
Fred Williamson,19,M,1938-03-05,/m/0x67,/m/03vrv9,1,Q1452569
Monte Blue,19,M,1887-01-11,,/m/0dxdcm,1,Q1945758
Jack Oakie,18,M,1903-11-12,,/m/04x946,1,Q545846
Leslie Nielsen,18,M,1926-02-11,/m/0cnvdq1,/m/0fb7c,1,Q37156
Charles Boyer,18,M,1899-08-28,,/m/0p9gg,1,Q105987
Harry Woods,18,M,1889-05-05,,/m/02x28by,1,Q5673513
Kathleen Freeman,18,F,1919-02-17,,/m/06nrh1,1,Q272505
Lew Ayres,18,M,1908-12-28,,/m/01386m,1,Q444371
H. B. Warner,18,M,1875-10-26,,/m/04jxzf,1,Q1562547
Walter Kingsford,18,M,1882-09-20,,/m/03hg8jx,1,Q3280243
Shelley Winters,18,F,1920-08-18,/m/041rx,/m/019l68,1,Q202144
Warren William,18,M,1894-12-02,,/m/08_pbl,1,Q950857
Mary Astor,18,F,1906-05-03,/m/063k3h,/m/02qhm3,1,Q5438869
Edward G. Robinson,18,M,1893-12-12,/m/041rx,/m/017g2y,1,Q83812
Kirk Douglas,18,M,1916-12-09,/m/09kr66,/m/0j582,1,Q104027
Jane Frazee,18,F,1918-07-18,,/m/04cyg9f,1,Q6152241
Eve Arden,18,F,1908-04-30,,/m/02tl9,1,Q255630
Elmer,18,M,,,/m/0gbmnd_,1,
William Bendix,18,M,1906-01-14,,/m/02l_n5,1,Q2005629
Anne Baxter,18,F,1923-05-07,,/m/019l3m,1,Q164683
Sara Haden,18,F,1899-11-17,,/m/0fjfvp,1,Q325661
Shirley MacLaine,17,F,1934-04-24,,/m/01w1kyf,1,Q95026
James Garner,17,M,1928-04-07,/m/07hwkr,/m/016kkx,1,Q108510
Louis Calhern,17,M,1895-02-19,,/m/014kbz,1,Q573399
Victor McLaglen,17,M,1886-12-10,,/m/0cbf0,1,Q329577
Ronald Reagan,17,M,1911-02-06,/m/07bch9,/m/06c0j,1,Q9200
Joe Flynn,17,M,1924-11-08,,/m/0cyjzn,1,Q713071
Jack Warden,17,M,1920-09-18,,/m/02wr6r,1,Q373968
J. Carrol Naish,17,M,1896-01-21,/m/033tf_,/m/04f6fn,1,Q642876
Hattie McDaniel,17,F,1895-06-10,/m/0x67,/m/0mzhd,1,Q228904
Kathryn Grayson,17,F,1922-02-09,,/m/01wd_n5,1,Q234117
Frederick Worlock,17,M,1886-12-14,,/m/0k1jvq,1,Q3087184
Strother Martin,17,M,1919-03-26,,/m/021wjl,1,Q965482
Bob Denver,17,M,1935-01-09,,/m/018hgr,1,Q747723
Red Buttons,17,M,1919-02-05,/m/041rx,/m/02_k_x,1,Q1001
Maurice Chevalier,16,M,1888-09-12,,/m/01jqtg9,1,Q106001
Gene Lockhart,16,M,1891-07-18,,/m/04qyk7,1,Q1370701
Tom London,16,M,1889-08-24,,/m/03zrvd,1,Q7816621
John Gilbert,16,M,,,/m/0h8km99,1,Q970
Dennis Morgan,16,M,1908-12-20,/m/06mvq,/m/0br9vt,1,Q956920
Patrick Wayne,16,M,1939-07-15,,/m/0990gy,1,Q2001604
Mae Marsh,16,F,1894-11-09,,/m/0735gw,1,Q153332
Dawn Wells,16,F,1938-10-18,,/m/03815q,1,Q470007
Josephine Crowell,16,F,1859-01-11,,/m/03c397f,1,Q3138866
William Frawley,16,M,1887-02-26,,/m/01m5lf,1,Q1290248
George Raft,16,M,1901-09-26,,/m/033hqf,1,Q436187
Fred MacMurray,16,M,1908-08-30,,/m/0ly5n,1,Q356309
Greer Garson,16,F,1904-09-29,/m/07bch9,/m/0h1s0,1,Q69488
Spottiswoode Aitken,16,M,1868-04-16,,/m/0krxq4,1,Q1230515
Tyrone Power,16,M,1914-05-05,/m/06v41q,/m/02s58t,1,Q309989
Robert Mitchum,16,M,1917-08-06,,/m/0m0hw,1,Q16472
Joan Leslie,16,F,1925-01-26,,/m/056jp0,1,Q260318
Warren Oates,16,M,1928-07-05,,/m/049tcm,1,Q709133
Bruce Cabot,15,M,1904-04-20,,/m/0445xn,1,Q373500
Grant Mitchell,15,M,1874-06-17,,/m/03c35wj,1,Q3115403
George Zucco,15,M,1886-01-11,,/m/0dnp29,1,Q1508673
Keye Luke,15,M,1904-06-18,,/m/01y2rq,1,Q609316
Van Heflin,15,M,1910-12-13,,/m/03bggl,1,Q350678
Virginia Grey,15,F,1917-03-22,,/m/03lmwp,1,Q273118
Ava Gardner,15,F,1922-12-24,/m/09lz9zx,/m/0btyl,1,Q164487
Paul Harvey,15,M,1882-09-10,,/m/03csbls,1,Q3371436
Fay Wray,15,F,1907-09-15,,/m/02ysx,1,Q266694
Hugh Herbert,15,M,1887-08-10,,/m/0f45yl,1,Q613705
"Alan Hale, Jr.",15,M,1921-03-08,,/m/02qn4z,1,Q640093
Robert Warwick,15,M,1878-10-09,,/m/07mw50,1,Q555672
Jill Ireland,15,F,1936-04-24,,/m/05vy5j,1,Q175571
Katharine Hepburn,15,F,1907-05-12,,/m/0bw87,1,Q56016
Martha Raye,15,F,1916-08-27,,/m/01ppr7_,1,Q435236
James Gleason,15,M,1882-05-23,,/m/04x9b0,1,Q49108
Natalie Schafer,15,F,1900-11-05,,/m/02g_b8,1,Q254588
Russell Johnson,15,M,1924-11-10,,/m/03scp0,1,Q1387828
Raymond Massey,15,M,1896-08-30,,/m/012j5h,1,Q531461
Lena Horne,15,F,1917-06-30,/m/0x67,/m/01n44c,1,Q1086
Warner Oland,15,M,1879-10-03,,/m/0447ft,1,Q23957
John Hoyt,14,M,1905-10-05,,/m/081z2l,1,Q1700513
Joey Zimmerman,14,M,1986-06-10,/m/041rx,/m/061wbb,1,Q328921
Johnny Sheffield,14,M,1931-04-11,,/m/0310rp,1,Q962024
Pat Brady,14,M,1914-12-31,,/m/05zbj9,1,Q7143236
Frankie Darro,14,M,1917-12-22,,/m/06b2ht,1,Q1445069
Judith Hoag,14,F,1968-06-29,,/m/0d4zb6,1,Q271866
Ruby Keeler,14,F,1910-08-25,,/m/019wrj,1,Q272092
Richard Bakalyan,14,M,1931-01-29,,/m/02pj61d,1,Q3550929
Jay C. Flippen,14,M,1899-03-06,,/m/06plnr,1,Q330847
Gordon MacRae,13,M,1921-03-12,,/m/01m2gwz,1,Q1153004
Billy De Wolfe,13,M,1907-02-18,,/m/0279f4k,1,Q4912445
Veronica Lake,13,F,1922-11-14,/m/033tf_,/m/01xm6k,1,Q84232
Sally Payne,13,F,1912-09-05,,/m/043ntqz,1,Q7405250
Steve McQueen,13,M,1930-03-24,/m/07bch9,/m/012cj0,1,Q913672
Charles Drake,13,M,1917-10-02,,/m/02w8sd,1,Q957063
Arthur Kennedy,13,M,1914-02-17,,/m/014kg4,1,Q351838
Edmund Gwenn,13,M,1877-09-26,,/m/03bpcj,1,Q344750
Billy Barty,13,M,1924-10-25,,/m/02y3dh,1,Q716319
Raymond Walburn,13,M,1887-09-09,,/m/0f_6zq,1,Q262373
Elsa Lanchester,13,F,1902-10-28,,/m/015g36,1,Q233009
George Bancroft,13,M,1882-09-30,,/m/03jl2r,1,Q618616
Wade Boteler,13,M,1888-10-03,,/m/02x2pfc,1,Q3564975
Jon Hall,13,M,1915-02-23,,/m/05dtr6,1,Q585953
Paulette Goddard,13,F,1910-06-03,,/m/01_2n6,1,Q49212
Robert Vaughn,13,M,1932-11-22,,/m/01hbq0,1,Q314834
Angela Lansbury,13,F,1925-10-16,/m/0d7wh,/m/0161h5,1,Q206856
Elisha Cook Jr.,13,M,1903-12-26,,/m/05c934,1,Q1330714
Angie Dickinson,13,F,1931-09-30,,/m/02lyx4,1,Q235989
Arthur Treacher,13,M,1894-07-23,,/m/020csj,1,Q711731
Ray Collins,13,M,1889-12-10,,/m/06ybgd,1,Q1550341
Dan Duryea,13,M,1907-01-23,,/m/05c1cm,1,Q1159055
Edward Brophy,13,M,1895-02-27,,/m/05rg82,1,Q987741
Mona Freeman,13,F,1926-06-09,,/m/074yjn,1,Q275779
Wallace Reid,13,M,1891-04-15,,/m/03q8vb,1,Q947766
Kimberly J. Brown,12,F,1984-11-16,,/m/05vf0s,1,Q125447
William Haines,12,M,1900-01-02,,/m/02qq68,1,Q668993
Lucile Watson,12,F,1879-05-27,,/m/079qlq,1,Q267829
Lynne Overman,12,M,1887-09-19,,/m/0h160n,1,Q3269588
Tom Laughlin,12,M,1931-08-10,,/m/03zwzt,1,Q718935
Clara Bow,12,F,1905-07-29,,/m/0qksf,1,Q234640
Murray Hamilton,12,M,1923-03-24,,/m/06_3vs,1,Q978706
Shirley Jean Rickert,12,F,1926-03-25,,/m/0gz83t,1,Q2493657
Jean Peters,12,F,1926-10-15,,/m/04q3w0,1,Q11573
Robert Preston,12,M,1918-06-08,,/m/02l5mv,1,Q451811
Pauline Moore,12,F,1914-06-14,,/m/03d93my,1,Q9057087
Emily Roeske,12,F,1991-07-15,,/m/0h3gcy,1,Q5966653
Morris Ankrum,12,M,1896-08-28,,/m/0c8fy1,1,Q2421148
O. J. Simpson,12,M,1947-07-09,/m/0x67,/m/016mbz,1,Q44473
Loretta Young,12,F,1913-01-06,,/m/01934k,1,Q253384
Moroni Olsen,12,M,1889-06-27,,/m/0g6zr3,1,Q1848730
Denver Pyle,12,M,1920-05-11,,/m/036t_f,1,Q1189988
Blanche Sweet,12,F,1896-06-18,,/m/07y9rp,1,Q267718
Anita Page,12,F,1910-08-04,,/m/02tg57,1,Q283342
Priscilla Presley,12,F,1945-05-24,/m/063k3h,/m/01dml6,1,Q14041
Edna May Oliver,12,F,1883-11-09,,/m/04bjn7,1,Q242548
Edmond O'Brien,12,M,1915-09-10,,/m/03bpn6,1,Q119935
Ed Williams,12,M,,,/m/01xrv53,1,Q1282555
Michael McGreevey,12,M,1948-02-07,,/m/0dm3jpl,1,Q3308371
Gene Nelson,12,M,1920-03-24,,/m/09cz9s,1,Q1501413
Binnie Barnes,12,F,1903-05-25,/m/041rx,/m/074n6v,1,Q447612
William Holden,12,M,1918-04-17,,/m/012v9y,1,Q95002
James Coburn,12,M,1928-08-31,,/m/01337_,1,Q55409254
Walter Huston,12,M,1883-04-05,,/m/012dtw,1,Q162621
Marcel Dalio,12,M,1900-07-17,/m/041rx,/m/07hp1y,1,Q1893008
Carole Lombard,12,F,1908-10-06,,/m/0c2ry,1,Q139038
Susan Hayward,12,F,1917-06-30,/m/065b6q,/m/01938t,1,Q248837
Rod Steiger,12,M,1925-04-14,,/m/0gm34,1,Q273215
Jeanette MacDonald,11,F,1903-06-18,,/m/02hs3p,1,Q237030
James Arness,11,M,1923-05-26,/m/09zyn5,/m/036jp8,1,Q470190
Don Ameche,11,M,1908-05-31,,/m/02l0xc,1,Q310413
Gerald Hamer,11,,1886-11-16,,/m/0cgryl7,1,
Joanne Woodward,11,F,1930-02-27,,/m/01bj6y,1,Q962
Lafe McKee,11,M,1872-01-23,,/m/02wbvgd,1,Q3216092
Victor Sen Yung,11,M,1915-10-18,,/m/04cvwk,1,Q1229342
Marjorie Main,11,F,1890-02-24,,/m/02h71m,1,Q445018
Lynne Roberts,11,F,1922-11-22,,/m/06_t89,1,Q15504160
Julius Tannen,11,M,1880-05-16,,/m/0h2gfq,1,Q607389
Benson Fong,11,M,1916-10-10,/m/0d2by,/m/03r2xh,1,Q2896707
Alexis Smith,11,F,1921-06-08,,/m/03wg5w,1,Q621977
Clayton Moore,11,M,1914-09-14,,/m/03y6y2,1,Q2978740
David Manners,11,M,1900-04-30,,/m/04d782,1,Q359463
Roland Young,11,M,1887-11-11,,/m/04jy08,1,Q1371212
Chill Wills,11,M,1902-07-18,,/m/04yn6q,1,Q1072969
Janet Gaynor,11,F,1906-10-06,,/m/0cf3c,1,Q248
