Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description,actor_country_of_citizenship,actor_occupation
Henry Fonda,57,M,1905-05-16,/m/07mqps,/m/0cj8x,1,Q19155,American actor (1905–1982),United States of America,"['television actor', 'film actor', 'naval officer', 'beekeeper', 'screenwriter', 'stage actor', 'television producer']"
Frank McHugh,57,M,1898-05-23,,/m/026hskb,1,Q82284,American actor (1898-1981),United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Bob Nolan,57,M,1908-04-13,,/m/04sz1q,1,Q888168,Canadian-American singer and actor,Canada,"['singer-songwriter', 'singer', 'musician', 'film actor', 'composer']"
Boris Karloff,56,M,1887-11-23,/m/0d7wh,/m/0hpz8,1,Q203219,English actor (1887–1969),United Kingdom,"['film actor', 'stage actor', 'actor']"
Ward Bond,56,M,1903-04-09,,/m/02hfsd,1,Q1280760,American film actor (1903-1960),United States of America,"['actor', 'character actor', 'film actor', 'television actor']"
Donald Crisp,56,M,1882-07-27,,/m/03bdm4,1,Q367073,English film actor (1882-1974),United Kingdom,"['actor', 'film director', 'writer', 'film actor', 'performing artist', 'screenwriter', 'film producer']"
Raymond Hatton,55,M,1887-07-07,,/m/0f3hp6,1,Q370280,American silent film actor (1887-1971),United States of America,"['actor', 'film actor']"
Edward Arnold,54,M,1890-02-18,,/m/05c0t6,1,Q522803,American actor (1890–1956),United States of America,"['actor', 'autobiographer', 'stage actor', 'trade unionist', 'film actor']"
Peter Lorre,53,M,1904-06-26,/m/041rx,/m/0h326,1,Q78505,Hungarian-American actor (1904–1964),United States of America,"['film actor', 'film director', 'character actor', 'screenwriter', 'stage actor', 'actor', 'director', 'television actor']"
Jack Elam,53,M,1920-11-13,,/m/05v45k,1,Q500155,American film and television actor (1920-2003),United States of America,"['television actor', 'film actor', 'actor']"
Keenan Wynn,52,M,1916-07-27,/m/033tf_,/m/04264n,1,Q946859,American actor (1916-1986),United States of America,"['actor', 'character actor', 'television actor', 'film actor', 'voice actor', 'stage actor']"
Andy Devine,52,M,1905-10-07,,/m/0156y1,1,Q386105,actor (1905-1977),United States of America,"['film actor', 'actor', 'television actor']"
Dick Powell,51,M,1904-11-14,,/m/01d5vk,1,Q287977,American actor,United States of America,"['actor', 'singer', 'film director', 'film producer', 'jazz musician', 'television actor', 'businessperson', 'film actor', 'television producer']"
James Cagney,50,M,1899-07-17,/m/033tf_,/m/0432b,1,Q94041,American actor and dancer (1899–1986),United States of America,"['film actor', 'character actor', 'stage actor', 'television actor', 'trade unionist', 'film director']"
Van Johnson,50,M,1916-08-25,/m/07mqps,/m/049tjg,1,Q436638,American film and television actor and dancer,United States of America,"['film actor', 'singer', 'stage actor', 'television actor', 'dancer']"
Bing Crosby,50,M,1903-05-03,/m/033tf_,/m/01vsy9_,1,Q72984,American singer and actor (1903–1977),United States of America,"['actor', 'singer', 'jazz musician', 'screenwriter', 'film actor', 'radio personality', 'stage actor', 'poet']"
"Lon Chaney, Jr.",50,M,1906-02-10,,/m/011xjd,1,Q318261,American actor (1906-1973),United States of America,"['actor', 'character actor', 'film actor', 'television actor']"
Grant Withers,49,M,1905-01-17,,/m/0fj_nl,1,Q3115415,American film actor (1905-1959),United States of America,"['actor', 'journalist', 'television actor', 'film producer']"
Béla Lugosi,48,M,1882-10-20,/m/08hpk0,/m/01l3j,1,Q34529,Hungarian-American actor (1882–1956),Hungary,"['film actor', 'stage actor', 'trade unionist', 'actor']"
Anthony Quinn,48,M,1915-04-21,/m/01g7zj,/m/0b_fw,1,Q83484,Mexican and American actor (1915-2001),Mexico,"['film actor', 'sculptor', 'writer', 'film director', 'actor', 'television actor', 'painter']"
Randolph Scott,47,M,1898-01-23,,/m/014y_c,1,Q295984,American actor (1898–1987),United States of America,"['actor', 'screenwriter', 'film actor', 'film producer']"
William Powell,47,M,1892-07-29,,/m/012dr7,1,Q105960,American actor,United States of America,"['stage actor', 'film actor', 'television actor']"
Fred Astaire,46,M,1899-05-10,/m/01qhm_,/m/0h953,1,Q100937,"American actor, dancer, singer (1899–1987)",United States of America,"['film actor', 'choreographer', 'singer', 'dancer', 'film producer', 'musician', 'screenwriter', 'stage actor', 'voice actor', 'television presenter', 'television actor', 'recording artist']"
Ernest Borgnine,46,M,1917-01-24,,/m/015d3h,1,Q102551,American actor (1917-2012),United States of America,"['actor', 'film actor', 'character actor', 'military officer', 'television actor', 'voice actor', 'stage actor']"
Harry Morgan,46,M,1915-04-10,,/m/02h0f3,1,Q355125,American actor and director (1915–2011),United States of America,"['film actor', 'screenwriter', 'stage actor', 'television actor', 'television director']"
Walter Pidgeon,46,M,1897-09-23,,/m/012j8z,1,Q350640,Canadian actor (1897-1984),United States of America,"['singer', 'stage actor', 'television actor', 'trade unionist', 'film actor']"
Smiley Burnette,44,M,1911-03-18,,/m/05kj4d,1,Q3090745,American country music performer and comedic actor (1911-1967),United States of America,"['actor', 'singer', 'screenwriter', 'songwriter', 'television actor']"
Ginger Rogers,44,F,1911-07-16,,/m/0h7dd,1,Q95089,American actress and dancer (1911-1995),United States of America,"['film actor', 'playwright', 'dancer', 'stage actor', 'television actor', 'singer', 'writer']"
Barbara Stanwyck,44,F,1907-07-16,,/m/0bw6y,1,Q94002,American actress (1907-1990),United States of America,"['television actor', 'film actor', 'model', 'screenwriter', 'stage actor']"
Shirley Temple,43,F,1928-04-23,/m/02w7gg,/m/03d9v8,1,Q182580,"American actress, singer, dancer, and diplomat (1928–2014)",United States of America,"['actor', 'film actor', 'singer', 'diplomat', 'child actor', 'dancer', 'television actor', 'politician']"
Franklin Pangborn,43,M,1889-01-23,,/m/079bl5,1,Q3082947,actor (1889-1958),United States of America,"['actor', 'television actor', 'stage actor', 'film actor']"
Henry O'Neill,43,M,1891-08-10,,/m/090051,1,Q461949,American film actor,United States of America,"['stage actor', 'film actor']"
Maureen O'Hara,43,F,1920-08-17,/m/03bkbh,/m/01j5tb,1,Q229276,Irish-American film actress and singer (1920-2015),Republic of Ireland,"['writer', 'autobiographer', 'singer', 'stage actor', 'film actor', 'television actor']"
Cary Grant,43,M,1904-01-18,,/m/09qh1,1,Q83410,British-American actor (1904-1986),United States of America,"['film actor', 'writer', 'autobiographer', 'stage actor', 'film producer', 'businessperson', 'comedian', 'circus performer', 'actor']"
Burt Lancaster,42,M,1913-11-02,,/m/01g42,1,Q160528,American actor (1913–1994),United States of America,"['film producer', 'screenwriter', 'film actor', 'film director', 'television actor', 'stage actor', 'circus performer', 'actor', 'acrobat']"
Olivia de Havilland,42,F,1916-07-01,/m/03vv99,/m/0m6x4,1,Q95068,American actress (1916-2020),United States of America,"['screenwriter', 'television actor', 'stage actor']"
George Kennedy,42,M,1925-02-18,,/m/02wrrm,1,Q298818,American actor (1925-2016),United States of America,"['film actor', 'stage actor', 'television actor', 'actor', 'military officer']"
Spencer Tracy,42,M,1900-04-05,/m/033tf_,/m/0cf2h,1,Q71275,American actor (1900-1967),United States of America,"['actor', 'stage actor', 'film actor']"
Doris Day,42,F,1924-04-03,,/m/029ql,1,Q104372,American actress and singer (1922–2019),United States of America,"['film actor', 'singer', 'television actor', 'recording artist', 'actor']"
Orson Welles,42,M,1915-05-06,,/m/05kh_,1,Q24829,"American actor, director, writer, and producer (1915–1985)",United States of America,"['film actor', 'theatrical director', 'film director', 'film producer', 'film editor', 'screenwriter', 'librettist', 'character actor', 'playwright', 'radio personality', 'magician', 'stage actor', 'theatrical producer', 'television actor', 'voice actor', 'actor', 'director']"
Judy Garland,42,F,1922-06-10,/m/033tf_,/m/0g10g,1,Q11637,American actress and singer (1922–1969),United States of America,"['television actor', 'film actor', 'singer', 'actor', 'voice actor', 'radio personality', 'musician', 'stage actor']"
Richard Widmark,41,M,1914-12-26,,/m/02x08c,1,Q320036,American actor (1914-2008),United States of America,"['film actor', 'stage actor', 'television actor', 'film director']"
Esther Williams,41,F,1921-08-08,,/m/03mrpz,1,Q232395,American swimmer and actress (1921–2013),United States of America,"['actor', 'autobiographer', 'television actor', 'film actor', 'swimmer']"
Kurt Russell,40,M,1951-03-17,,/m/01g969,1,Q103157,American actor (born 1951),United States of America,"['baseball player', 'film actor', 'television actor', 'film producer', 'screenwriter']"
Roy Barcroft,40,M,1902-09-07,,/m/02qjwq_,1,Q945076,American actor (1902-1969),United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Robert Harron,39,M,1893-04-12,,/m/08k3dj,1,Q1344716,actor (1893-1920),United States of America,"['actor', 'film actor']"
Ann Sheridan,39,F,1915-02-21,,/m/02l0kp,1,Q233848,American actress (1915-1967),United States of America,"['actor', 'television actor', 'film actor']"
Dorothy Lamour,38,F,1914-12-10,/m/033tf_,/m/01ty7_y,1,Q166420,American actress and singer (1914-1996),United States of America,"['actor', 'singer', 'television actor', 'film actor', 'stage actor', 'radio personality', 'beauty pageant contestant', 'screenwriter']"
Harry Carey,38,M,1878-01-16,,/m/03fpwp,1,Q1344801,American actor,United States of America,"['film director', 'screenwriter', 'stage actor', 'film actor', 'actor']"
Jack Carson,38,M,1910-10-27,,/m/07crf5,1,Q1393256,Canadian-born American-based film actor,Canada,"['actor', 'stage actor', 'film actor', 'television actor']"
Paul Fix,38,M,1901-03-13,,/m/0d2jdq,1,Q744357,"American film and television character actor, best known for his work in Westerns (1901-1983)",United States of America,"['actor', 'screenwriter', 'television actor', 'film actor']"
Gene Kelly,38,M,1912-08-23,,/m/036jb,1,Q73089,"American dancer, actor, singer, director, producer and choreographer (1912-1996)",United States of America,"['film actor', 'singer', 'film director', 'actor', 'choreographer', 'dancer', 'screenwriter', 'stage actor', 'television actor', 'film producer']"
Guy Kibbee,38,M,1882-03-06,,/m/0c1nd2,1,Q554094,actor (1882-1956),United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Leon Ames,38,M,1902-01-20,,/m/02xgyk,1,Q326723,actor (1902-1993),United States of America,"['actor', 'stage actor', 'television actor', 'trade unionist', 'film actor']"
Joan Blondell,37,F,1906-08-30,,/m/01kgg9,1,Q242729,American actress (1906–1979),United States of America,"['actor', 'beauty pageant contestant', 'model', 'stage actor', 'film actor']"
Tony Curtis,37,M,1925-06-03,/m/08hpk0,/m/0hwqg,1,Q162389,American actor (1925–2010),United States of America,"['film actor', 'writer', 'painter', 'television actor', 'actor']"
John Litel,37,M,1892-12-30,,/m/088v88,1,Q3181945,1892–1972; American film and television actor,United States of America,"['actor', 'stage actor', 'film actor']"
Aubrey Smith,36,M,1863-07-21,,/m/04t52j,1,Q552813,British actor (1863-1948),United Kingdom,"['cricketer', 'stage actor', 'film actor']"
Claudette Colbert,36,F,1903-09-13,,/m/0gmtm,1,Q203819,French-American actress (1903–1996),France,"['film actor', 'stage actor', 'television actor']"
Spring Byington,35,F,1886-10-17,,/m/079pn3,1,Q267803,American actress (1886-1971),United States of America,"['actor', 'stage actor', 'television actor', 'film actor']"
Billie Burke,35,F,1884-08-07,,/m/02gdtw,1,Q235639,American stage and film actress (1884-1970),United States of America,"['film actor', 'stage actor', 'television actor', 'radio personality', 'actor']"
Lana Turner,35,F,1921-02-08,,/m/018fmr,1,Q201034,American actress (1921–1995),United States of America,"['television actor', 'film actor', 'autobiographer', 'stage actor', 'model']"
Peter Lawford,35,M,1923-09-07,,/m/0202p_,1,Q345517,British-American actor (1923-1984),United Kingdom,"['film producer', 'film actor', 'television actor', 'manufacturer']"
Lucille Ball,34,F,1911-08-06,/m/07bch9,/m/04nw9,1,Q209662,American actress (1911–1989),United States of America,"['television actor', 'singer', 'model', 'film actor', 'comedian', 'television producer', 'film studio executive']"
Edgar Buchanan,34,M,1903-03-20,,/m/05qzxw,1,Q950397,actor (1903-1979),United States of America,"['actor', 'dentist', 'television actor', 'film actor']"
George Tobias,34,M,1901-07-14,,/m/05knjt,1,Q43883,actor,United States of America,"['stage actor', 'television actor', 'film actor', 'actor']"
Vincent Price,33,M,1911-05-27,,/m/013sg6,1,Q219640,American actor (1911-1993),United States of America,"['art collector', 'art historian', 'voice actor', 'writer', 'autobiographer', 'character actor', 'stage actor', 'film actor', 'television actor']"
Frank Morgan,32,M,1890-06-01,,/m/012dpb,1,Q200514,actor (1890-1949),United States of America,"['character actor', 'stage actor', 'film actor']"
George Sanders,32,M,1906-07-03,,/m/02cj_f,1,Q296491,British actor (1906-1972),United Kingdom,"['songwriter', 'writer', 'composer', 'autobiographer', 'character actor', 'film actor', 'television actor', 'singer', 'stage actor']"
June Allyson,32,F,1917-10-07,,/m/01d6jf,1,Q232863,American actress (1917-2006),United States of America,"['film actor', 'dancer', 'stage actor', 'television actor', 'singer', 'actor']"
Lionel Atwill,32,M,1885-03-01,,/m/06ljy0,1,Q575668,English and American actor (1885-1946),United Kingdom,"['actor', 'character actor', 'stage actor', 'film actor']"
Dana Andrews,32,M,1909-01-01,,/m/014zn0,1,Q365633,American actor (1909–1992),United States of America,"['actor', 'film actor', 'television actor', 'trade unionist']"
Robert Young,32,M,1907-02-22,/m/03bkbh,/m/018qql,1,Q516390,American actor (1907-1998),United States of America,"['film actor', 'television actor', 'stage actor']"
"Noah Beery, Sr.",31,M,1882-01-17,,/m/05rm4w,1,Q452545,American actor (1882-1946),United States of America,"['actor', 'character actor', 'stage actor', 'film actor']"
Ben Johnson,31,M,1918-06-13,,/m/028lc8,1,Q349166,American film actor (1918-1996),United States of America,"['television actor', 'film actor']"
Joel McCrea,31,M,1905-11-05,,/m/02mtxm,1,Q436784,American actor (1905–1990),United States of America,"['actor', 'film actor', 'television actor']"
Rock Hudson,31,M,1925-11-17,,/m/015dcj,1,Q184378,American actor (1925–1985),United States of America,"['television actor', 'film actor', 'stage actor', 'actor', 'HIV/AIDS activist', 'military personnel']"
Cesar Romero,31,M,1907-02-15,/m/04dbw3,/m/022q4j,1,Q443585,American actor (1907–1994),United States of America,"['character actor', 'film actor', 'television actor', 'stage actor', 'actor']"
Gene Autry,31,M,1907-09-29,,/m/017zng,1,Q342723,American actor and singer (1907-1998),United States of America,"['actor', 'singer', 'singer-songwriter', 'musician', 'yodeler', 'screenwriter', 'television actor', 'radio personality', 'film actor']"
Martin Balsam,30,M,1919-11-04,/m/041rx,/m/034q3l,1,Q312107,actor from the United States (1919-1996),United States of America,"['character actor', 'stage actor', 'film actor', 'television actor']"
Pat O'Brien,30,M,1899-11-11,/m/033tf_,/m/06y9_x,1,Q1790788,American film actor (1899-1983),United States of America,"['actor', 'stage actor']"
Jean Hersholt,30,M,1886-07-12,/m/0dqqwy,/m/0hglv,1,Q359251,danish-american actor (1886-1956),United States of America,"['film actor', 'actor', 'linguist', 'translator', 'film director']"
Claude Rains,30,M,1889-11-10,,/m/0h1q6,1,Q318734,British actor (1889-1967),United Kingdom,"['film actor', 'character actor', 'stage actor', 'television actor']"
Akim Tamiroff,30,M,1899-10-29,,/m/04jxlw,1,Q418424,Russian-American movie actor (1899-1972),Soviet Union,"['stage actor', 'film actor', 'actor']"
Lillian Gish,30,F,1893-10-14,,/m/01c2sl,1,Q104183,American actress (1893-1993),United States of America,"['film actor', 'film director', 'writer', 'autobiographer', 'screenwriter', 'stage actor', 'television actor', 'peace activist']"
Cedric Hardwicke,30,M,1893-02-19,,/m/017d3v,1,Q527735,English actor (1893-1964),United Kingdom,"['film director', 'film producer', 'stage actor', 'film actor', 'actor', 'television actor']"
Brian Donlevy,29,M,1901-02-09,,/m/03kd1c,1,Q912097,American actor (1901-1972),United States of America,"['stage actor', 'film actor', 'television actor', 'film producer', 'actor']"
Samuel S. Hinds,29,M,1875-04-04,,/m/05bdnpb,1,Q2750248,actor (1875-1948),United States of America,"['actor', 'film actor']"
George Brent,29,M,1899-03-15,,/m/033htq,1,Q1124735,Irish-American actor (1899-1979),Republic of Ireland,"['actor', 'stage actor', 'television actor', 'film actor']"
Jerome Cowan,29,M,1897-10-06,,/m/06kq1h,1,Q3177416,US actor,United States of America,"['stage actor', 'film actor', 'television actor', 'actor']"
Adolphe Menjou,29,M,1890-02-18,,/m/012c6j,1,Q358379,American actor (1890-1963),United States of America,"['character actor', 'stage actor', 'film actor', 'television actor']"
Cyd Charisse,29,F,1922-03-08,,/m/039vv_,1,Q62558,American dancer and actress (1921-2008),United States of America,"['actor', 'ballet dancer', 'stage actor', 'television actor', 'film actor']"
Henry B. Walthall,29,M,1878-03-16,,/m/0bkrvh,1,Q661678,American actor (1878–1936),United States of America,"['stage actor', 'film actor']"
Ann Rutherford,28,F,1917-11-02,,/m/03ctbl,1,Q231704,actress,United States of America,"['television actor', 'film actor', 'stage actor']"
Thomas Mitchell,28,M,1892-07-11,,/m/039xcr,1,Q317026,"American actor, playwright and screenwriter (1892-1962)",United States of America,"['screenwriter', 'playwright', 'character actor', 'television actor', 'stage actor', 'film actor', 'theatrical director']"
John Qualen,28,M,1899-12-08,/m/04f581,/m/07z586,1,Q1364339,Canadian-American actor of Norwegian origin (1899-1987),United States of America,"['actor', 'film actor', 'television actor']"
Roddy McDowall,28,M,1928-09-17,,/m/015rhv,1,Q283988,British actor (1928–1998),United Kingdom,"['voice actor', 'film director', 'character actor', 'screenwriter', 'stage actor', 'film actor', 'television actor', 'actor', 'photographer', 'film producer']"
Glenn Ford,28,M,1916-05-01,/m/07bch9,/m/02_01w,1,Q212048,Canadian-American actor (1916-2006),Canada,"['film actor', 'military officer', 'character actor', 'television actor']"
Charles Coburn,28,M,1877-06-19,,/m/03bgmn,1,Q350690,American film and theater actor (1877-1961),United States of America,"['actor', 'stage actor', 'film actor']"
Robert Montgomery,27,M,1904-05-21,,/m/034cj9,1,Q366956,American actor (1904–1981),United States of America,"['television actor', 'film actor', 'film director', 'stage actor', 'trade unionist', 'theatrical director', 'actor', 'manufacturer', 'film producer']"
Fredric March,27,M,1897-08-31,,/m/0h1_w,1,Q181819,American actor,United States of America,"['actor', 'character actor', 'stage actor', 'film actor', 'television actor']"
John 'Dusty' King,27,M,1909-07-11,,/m/05zmbvr,1,Q1700707,American singer and film actor (1909-1987),United States of America,"['actor', 'film actor', 'singer']"
Alice Faye,26,F,1915-05-05,/m/033tf_,/m/032xfz,1,Q254603,"american actress, singer (1915-1998)",United States of America,"['film actor', 'actor', 'singer', 'stage actor', 'voice actor']"
Jane Darwell,26,F,1879-10-15,,/m/039nmy,1,Q230159,actress (1879-1967),United States of America,"['film actor', 'stage actor']"
Maureen O'Sullivan,26,F,1911-05-17,,/m/01cqh7,1,Q230084,Irish-American actress (1911–1998),United States of America,"['stage actor', 'film actor', 'television actor']"
Royal Dano,26,M,1922-11-16,,/m/06_4b8,1,Q1344213,American actor (1922-1994),United States of America,"['actor', 'film actor', 'television actor']"
Alfred Hitchcock,26,M,1899-08-13,/m/02g7sp,/m/0j_c,1,Q7374,English filmmaker (1899–1980),United Kingdom,"['film director', 'screenwriter', 'film producer', 'film editor', 'television producer', 'film actor', 'television director', 'cinematographer', 'director']"
Nat Pendleton,26,M,1895-08-09,,/m/033h24,1,Q1288004,Olympic wrestler and actor,United States of America,"['film actor', 'amateur wrestler']"
Ray Milland,25,M,1907-01-03,,/m/0f0p0,1,Q181774,Welsh-American actor and actor and film director (1907-1986),United Kingdom,"['actor', 'film director', 'screenwriter', 'film actor', 'television actor', 'film producer', 'stage actor', 'television director']"
Johnny Weissmuller,25,M,1904-06-02,/m/0ffj5g,/m/04709,1,Q151284,"American swimmer, water polo player, and actor (1904–1984)",United States of America,"['film actor', 'swimmer', 'actor', 'water polo player', 'television actor']"
Earl Dwire,25,M,1883-10-03,,/m/02w7qh1,1,Q5325828,actor (1883-1940),United States of America,['actor']
S.Z. Sakall,25,M,1883-02-02,,/m/09k292,1,Q955183,Hungarian actor,Hungary,"['actor', 'screenwriter', 'stage actor', 'film actor']"
Joseph Cotten,25,M,1905-05-15,,/m/044bn,1,Q95148,American actor (1905–1994),United States of America,"['film actor', 'screenwriter', 'autobiographer', 'stage actor', 'television actor', 'radio personality']"
Telly Savalas,25,M,1922-01-21,/m/038723,/m/01m42d0,1,Q209471,American film and television actor and singer (1922–1994),United States of America,"['actor', 'singer', 'poker player', 'director', 'radio personality']"
Greta Garbo,25,F,1905-09-18,/m/06mvq,/m/0h14h,1,Q5443,Swedish-American actress (1905-1990),Sweden,"['actor', 'film actor', 'stage actor']"
Karl Malden,24,M,1912-03-22,/m/0268d21,/m/01y8cr,1,Q94992,American actor,United States of America,"['television actor', 'film actor', 'stage actor', 'film director']"
Allen Jenkins,24,M,1900-04-09,,/m/04y2g4,1,Q2424447,"Film, stage and television actor",United States of America,"['stage actor', 'film actor', 'television actor', 'voice actor']"
Reginald Denny,24,M,1891-11-20,,/m/08zdk2,1,Q1803090,British actor (1891-1967),United Kingdom,"['actor', 'boxer', 'stage actor', 'aircraft pilot', 'film actor', 'businessperson', 'television actor']"
Tully Marshall,24,M,1864-04-10,,/m/06mwbj,1,Q2063267,actor,United States of America,"['stage actor', 'film actor', 'theatrical director']"
Edward Everett Horton,24,M,1886-03-18,,/m/0197p7,1,Q1292160,American actor (1886-1970),United States of America,"['stage actor', 'film actor', 'singer', 'television actor', 'voice actor', 'actor']"
Porter Hall,24,M,1888-09-19,,/m/09bx4t,1,Q3399241,American actor (1888-1953),United States of America,"['stage actor', 'film actor', 'television actor', 'actor']"
