Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community,Wikidata_actor_id,actor_description,actor_country_of_citizenship,actor_occupation
John Wayne,286,M,1907-05-26,/m/063k3h,/m/043gj,1,Q40531,American actor (1907–1979),United States of America,"['actor', 'film actor', 'film director', 'film producer', 'screenwriter', 'American football player', 'television actor']"
Roy Rogers,242,M,1911-11-05,/m/07hwkr,/m/01mc6h1,1,Q367129,American actor and singer (1911-1998),United States of America,"['television actor', 'film actor', 'singer', 'actor', 'musician', 'yodeler', 'songwriter', 'film producer']"
George 'Gabby' Hayes,130,M,1885-05-07,,/m/03l6jx,1,Q1277973,American actor (1885-1969),United States of America,"['actor', 'television actor', 'film actor', 'radio personality']"
Basil Rathbone,121,M,1892-06-13,,/m/0hwd8,1,Q336865,English actor (1892–1967),United Kingdom,"['character actor', 'stage actor', 'film actor', 'television actor']"
John Carradine,114,M,1906-02-05,,/m/021mlp,1,Q312878,American actor (1906-1988),United States of America,"['film actor', 'character actor', 'stage actor', 'television actor', 'voice actor', 'painter', 'sculptor']"
James Stewart,112,M,1908-05-20,/m/07bch9,/m/044qx,1,Q102462,American actor (1908-1997),United States of America,"['television actor', 'film actor', 'military officer', 'aircraft pilot', 'character actor', 'television director', 'screenwriter', 'military personnel', 'stage actor', 'poet', 'voice actor', 'film director']"
"Alan Hale, Sr.",107,M,1892-02-10,,/m/02t1wn,1,Q1971717,"actor, film director (1892-1950)",United States of America,"['film actor', 'actor', 'character actor', 'stage actor', 'film director']"
Lionel Barrymore,106,M,1878-04-28,,/m/0hnkp,1,Q295593,"American actor, director, screenwriter (1878-1954)",United States of America,"['film director', 'composer', 'musician', 'screenwriter', 'stage actor', 'film actor', 'actor', 'television presenter']"
Trigger,103,M,,,/m/05pg6q,1,Q614508,horse,,[]
Mickey Rooney,98,M,1920-09-23,/m/07bch9,/m/0m0nq,1,Q104081,American actor (1920–2014),United States of America,"['singer', 'novelist', 'dub actor', 'writer', 'comedian', 'military personnel', 'film director', 'radio personality', 'television producer', 'film producer', 'film actor', 'television actor', 'stage actor', 'actor', 'voice actor', 'screenwriter']"
Max Terhune,92,M,1891-02-12,,/m/02x2bzt,1,Q3302338,actor (1891-1973),United States of America,"['actor', 'film actor']"
Humphrey Bogart,91,M,1899-12-25,/m/07mqps,/m/03n6r,1,Q16390,American actor (1899–1957),United States of America,"['character actor', 'screenwriter', 'stage actor', 'film actor', 'actor']"
Myrna Loy,89,F,1905-08-02,,/m/012vf6,1,Q105941,American actress (1905–1993),United States of America,"['dancer', 'stage actor', 'film actor', 'television actor', 'actor']"
Nigel Bruce,85,M,1895-02-04,,/m/02l99f,1,Q728050,British actor (1895-1953),United Kingdom,"['actor', 'stage actor', 'film actor', 'television actor']"
Lewis Stone,83,M,1879-11-15,,/m/011_r9,1,Q457220,actor from the United States (1879-1953),United States of America,"['stage actor', 'film actor', 'actor']"
Clark Gable,77,M,1901-02-01,,/m/0bkmf,1,Q71243,American actor (1901-1960),United States of America,['film actor']
Errol Flynn,73,M,1909-06-20,/m/033tf_,/m/0hnp7,1,Q93188,Australian actor (1909-1959),United States of America,"['actor', 'character actor', 'screenwriter', 'film actor', 'film director']"
"Ray ""Crash"" Corrigan",73,M,1902-02-14,,/m/02849b0,1,Q442728,American actor (1902-1976),United States of America,"['actor', 'film actor']"
Bette Davis,72,F,1908-04-05,,/m/0h1m9,1,Q71206,"American film, television and stage actress (1908-1989)",United States of America,"['autobiographer', 'character actor', 'stage actor', 'film actor', 'television actor', 'actor', 'musician']"
Yakima Canutt,72,M,1895-11-29,,/m/03fcvf,1,Q563665,"American rodeo rider, actor and stuntman (1895–1986)",United States of America,"['actor', 'rodeo rider', 'film actor', 'stunt performer', 'film director']"
Gary Cooper,72,M,1901-05-07,,/m/0c2tf,1,Q93957,American actor (1901-1961),United States of America,"['film actor', 'screenwriter', 'television actor', 'actor']"
Bob Hope,69,M,1903-05-29,,/m/015cbq,1,Q94081,"American comedian, actor, singer and dancer (1903–2003)",United States of America,"['comedian', 'singer', 'writer', 'screenwriter', 'television actor', 'boxer', 'radio personality', 'film actor', 'television presenter', 'stage actor', 'voice actor', 'dancer', 'actor']"
Dean Martin,68,M,1917-06-07,/m/0xnvg,/m/013qvn,1,Q215359,"American singer, actor, comedian and film producer (1917-1995)",United States of America,"['film actor', 'singer', 'jazz musician', 'screenwriter', 'comedian', 'manufacturer', 'musician', 'film producer', 'television actor']"
Joan Crawford,67,F,1905-03-23,,/m/0cgbf,1,Q40475,American actress (190?–1977),United States of America,"['actor', 'film actor', 'dancer', 'model', 'television actor', 'businessperson']"
Charles Bronson,67,M,1921-11-03,/m/0ffkb4,/m/01dkpb,1,Q36105,American actor (1921–2003),United States of America,"['actor', 'film actor', 'character actor', 'screenwriter', 'television actor']"
William Demarest,63,M,1892-02-27,,/m/0436zq,1,Q1395104,actor,United States of America,"['film actor', 'stage actor', 'television actor', 'actor']"
Robert Livingston,63,M,1904-12-09,,/m/09c_46,1,Q7346945,American actor (1904-1988),United States of America,"['film actor', 'actor']"
Reginald Owen,61,M,1887-08-05,,/m/0b47ns,1,Q577687,British actor (1887-1972),United Kingdom,"['actor', 'screenwriter', 'stage actor', 'film actor', 'television actor']"
Jerry Lewis,61,M,1926-03-16,/m/09kr66,/m/0427y,1,Q294927,"American actor, comedian and filmmaker",United States of America,"['film producer', 'film actor', 'film director', 'singer-songwriter', 'writer', 'screenwriter', 'musician', 'singer', 'stage actor', 'television actor', 'comedian', 'television producer']"
Frank Sinatra,60,M,1915-12-12,/m/0xnvg,/m/02_fj,1,Q40912,American singer and actor (1915–1998),United States of America,"['television actor', 'film actor', 'actor', 'singer', 'voice actor', 'jazz musician', 'film producer', 'recording artist', 'film director']"
Wallace Beery,60,M,1885-04-01,,/m/01200d,1,Q322179,American actor (1885-1949),United States of America,"['stage actor', 'film actor', 'actor', 'film director']"
Dale Evans,60,F,1912-10-31,,/m/02jq56,1,Q438048,"American actress, singer and writer",United States of America,"['singer', 'songwriter', 'film actor']"
"Harry Carey, Jr.",58,M,1921-05-16,,/m/05cr66,1,Q1397312,American actor (1921–2012),United States of America,"['actor', 'television actor', 'film actor']"
Walter Brennan,57,M,1894-07-25,,/m/02f6s3,1,Q219521,American actor (1894-1974),United States of America,"['actor', 'character actor', 'film actor', 'television actor', 'songwriter', 'singer']"
