Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community
Steve Buscemi,136,M,1957-12-13,/m/0xnvg,/m/01wbg84,1
Samuel L. Jackson,134,M,1948-12-21,/m/0x67,/m/0f5xn,1
Adam Sandler,117,M,1966-09-09,/m/041rx,/m/0pz91,1
Kevin Smith,98,M,1963-03-16,,/m/0k1qm,1
Matt Damon,98,M,1970-10-08,/m/0cnvdq1,/m/0169dl,1
Danny Trejo,95,M,1944-05-16,/m/01g7zj,/m/01xllf,1
John Turturro,94,M,1957-02-28,,/m/01swck,1
Wallace Shawn,88,M,1943-11-12,/m/048z7l,/m/085q5,1
Cheech Marin,87,M,1946-07-13,/m/025rpb0,/m/029k55,1
Tom Hanks,82,M,1956-07-09,/m/02p4q5p,/m/0bxtg,1
Tim Allen,78,M,1953-06-13,,/m/019vgs,1
John Ratzenberger,78,M,1947-04-06,,/m/0p8r1,1
Jason Mewes,73,M,1974-06-12,/m/022dp5,/m/02q7z2,1
Ben Affleck,72,M,1972-08-15,/m/07bch9,/m/0151w_,1
Jason Lee,72,M,1970-04-25,,/m/034np8,1
Robert De Niro,71,M,1943-08-17,/m/0xnvg,/m/06cgy,1
Willem Dafoe,65,M,1955-07-22,,/m/01f7dd,1
Harvey Keitel,62,M,1939-05-13,/m/022dp5,/m/0klh7,1
William H. Macy,61,M,1950-03-13,/m/04tvpv,/m/023kzp,1
Allen Covert,60,M,1964-10-13,,/m/06rq2l,1
Rob Schneider,60,M,1963-10-31,/m/048z7l,/m/01fyzy,1
George Clooney,57,M,1961-05-06,/m/033tf_,/m/014zcr,1
David Graf,56,M,1950-04-16,,/m/03lz67,1
Joan Cusack,56,F,1962-10-11,/m/033tf_,/m/01fwpt,1
George Gaynes,56,M,1917-05-16,/m/0318mh,/m/03d4hz,1
Michael Winslow,56,M,1958-09-06,/m/0x67,/m/05xc43,1
Bruce Campbell,54,M,1958-06-22,,/m/01h8f,1
Brian O'Halloran,53,M,1969-12-20,,/m/063r24,1
Woody Allen,53,M,1935-12-01,/m/041rx,/m/081lh,1
Bubba Smith,52,M,1945-02-28,/m/0x67,/m/04174b,1
Don Rickles,52,M,1926-05-08,/m/041rx,/m/013tjc,1
Bruce Willis,52,M,1955-03-19,,/m/0h7pj,1
Brad Pitt,52,M,1963-12-18,,/m/0c6qh,1
Bill Nunn,51,M,1953-10-20,/m/0x67,/m/06pp0z,1
Elliott Gould,51,M,1938-08-29,/m/041rx,/m/02xwgr,1
Stan Lee,51,M,1922-12-28,/m/03f3sf,/m/079vf,1
Christopher Lloyd,50,M,1938-10-22,,/m/01l_yg,1
Leslie Easterbrook,50,F,1949-07-29,/m/02ctzb,/m/046k2j,1
Ted Raimi,50,M,1965-12-14,,/m/07qn0,1
John Cusack,50,M,1966-06-28,/m/033tf_,/m/01gkmx,1
Quentin Tarantino,50,M,1963-03-27,/m/0dbxy,/m/0693l,1
Andy García,49,M,1956-04-12,/m/025rpb0,/m/01yhd1,1
Sylvester Stallone,49,M,1946-07-06,/m/0xnvg,/m/0gn30,1
J. K. Simmons,48,M,1955-01-09,,/m/044rvb,1
John Goodman,48,M,1952-06-20,/m/07hwkr,/m/01nm3s,1
Ice Cube,48,M,1969-06-15,/m/0x67,/m/01vw26l,1
Harry Dean Stanton,48,M,1926-07-14,,/m/015p3p,1
Talia Shire,47,F,1946-04-25,/m/0xnvg,/m/01gw4f,1
Jon Lovitz,46,M,1957-07-21,,/m/02jm0n,1
Kevin Nealon,46,M,1953-11-18,/m/07hwkr,/m/049dyj,1
Danny DeVito,46,M,1944-11-17,/m/0xnvg,/m/0q9kd,1
Don Cheadle,46,M,1964-11-29,/m/0x67,/m/02p65p,1
Robert Duvall,45,M,1931-01-05,,/m/015c4g,1
Stanley Tucci,44,M,1960-11-11,/m/0xnvg,/m/02bj6k,1
Casey Affleck,43,M,1975-08-12,/m/03bkbh,/m/032_jg,1
Bernie Mac,43,M,1957-10-05,/m/0x67,/m/02lj6p,1
Antonio Banderas,43,M,1960-08-10,,/m/0436kgz,1
Keith David,43,M,1956-06-04,/m/0x67,/m/03pmzt,1
Michael Madsen,43,M,1957-09-25,,/m/02zyy4,1
James Franco,42,M,1978-04-19,/m/048z7l,/m/05bnp0,1
Marion Ramsey,42,F,1947-05-10,,/m/0g28w1,1
Christopher Walken,42,M,1943-03-31,/m/01qhm_,/m/016fjj,1
Tobey Maguire,41,M,1975-06-27,/m/07bch9,/m/015pkc,1
Philip Seymour Hoffman,41,M,1967-07-23,/m/033tf_,/m/02qgqt,1
John C. Reilly,41,M,1965-05-24,/m/0ffkb4,/m/02qgyv,1
Laurence Fishburne,40,M,1961-07-30,/m/0x67,/m/014gf8,1
David Spade,40,M,1964-07-22,,/m/02dlfh,1
Bill Moseley,40,M,1951-11-11,,/m/07vnp4,1
Steve Guttenberg,40,M,1958-08-24,/m/048z7l,/m/035wq7,1
Kevin Heffernan,39,M,1968-05-25,,/m/05qh0j,1
Diane Keaton,39,F,1946-01-05,/m/033tf_,/m/01csvq,1
Ethan Suplee,39,M,1976-05-25,/m/07hwkr,/m/0670jl,1
Scott Caan,38,M,1976-08-23,/m/013xrm,/m/03_dxb,1
Stellan Skarsgård,38,M,1951-06-13,/m/06mvq,/m/02mkkx,1
Elizabeth Banks,38,F,1974-02-10,,/m/0716t2,1
Victor Argo,38,M,1934-11-05,/m/0gkxl2,/m/03lv3s,1
Dennis Hopper,38,M,1936-05-17,,/m/02fn5,1
Annette Funicello,38,F,1942-10-22,,/m/01nvj6p,1
Al Pacino,37,M,1940-04-25,/m/0xnvg,/m/0bj9k,1
Kirsten Dunst,37,F,1982-04-30,/m/01qhm_,/m/04fzk,1
Giancarlo Esposito,37,M,1958-04-26,/m/0xnvg,/m/0807ml,1
Nick Swardson,36,M,1976-10-09,/m/04q7gbh,/m/09r0yc,1
Burt Reynolds,36,M,1936-02-11,,/m/0187y5,1
Seymour Cassel,36,M,1935-01-22,,/m/04yyhw,1
Nicolas Cage,36,M,1964-01-07,/m/01qhm_,/m/01vvb4m,1
Donald Sutherland,36,M,1935-07-17,/m/07bch9,/m/0ywqc,1
Burt Young,35,M,1940-04-30,/m/0xnvg,/m/04yywz,1
Julia Roberts,35,F,1967-10-28,/m/09vc4s,/m/046zh,1
Mia Farrow,35,F,1945-02-09,,/m/01cpqk,1
Rosemary Harris,35,F,1927-09-19,/m/02w7gg,/m/07fq1y,1
Charlie Sheen,35,M,1965-09-03,/m/042gtr,/m/01pllx,1
Paul Bettany,34,M,1971-05-27,/m/02w7gg,/m/01chc7,1
Susan Sarandon,34,F,1946-10-04,/m/09vc4s,/m/01vwllw,1
David Arquette,34,M,1971-09-08,/m/041rx,/m/02v60l,1
Cliff Robertson,34,M,1923-09-09,,/m/015gsv,1
Eddie Jemison,34,M,1963,,/m/0896b2,1
Spike Lee,34,M,1957-03-20,/m/0x67,/m/06pjs,1
Tom Sizemore,33,M,1961-11-29,/m/06gbnc,/m/025j1t,1
Shaobo Qin,33,M,1982,,/m/08c882,1
Carl Reiner,33,M,1922-03-20,/m/041rx,/m/0pnf3,1
G. W. Bailey,33,M,1944-08-27,,/m/045c2m,1
Richard Jenkins,33,M,1947-05-04,,/m/06lht1,1
Jack Nicholson,33,M,1937-04-22,/m/0xnvg,/m/09fb5,1
Keanu Reeves,33,M,1964-09-02,/m/03bkbh,/m/0479b,1
Jay Chandrasekhar,32,M,1968-04-09,/m/04gfy7,/m/03q054,1
Frankie Avalon,32,M,1939-09-18,/m/0xnvg,/m/01m9k6y,1
John Travolta,32,M,1954-02-18,/m/0xnvg,/m/0f502,1
Jon Favreau,32,M,1966-10-19,/m/0222qb,/m/01twdk,1
Walter Matthau,31,M,1920-10-01,/m/041rx,/m/0gyy0,1
Charles Durning,31,M,1923-02-28,,/m/02zfg3,1
Gena Rowlands,31,F,1930-06-19,,/m/01gvxv,1
Peter Dante,31,M,1968-12-16,/m/06v41q,/m/0fx4xc,1
Clifton Powell,30,M,1956-03-16,/m/0x67,/m/07v_x9,1
Laurie Metcalf,30,F,1955-06-16,,/m/01rs5p,1
Tommy 'Tiny' Lister,30,M,1958-06-24,/m/0x67,/m/03nrbx,1
Emilio Estevez,30,M,1962-05-12,/m/042gtr,/m/01z7s_,1
Carla Gugino,30,F,1971-08-29,/m/0xnvg,/m/06qgvf,1
Bonnie Hunt,30,F,1961-09-22,,/m/015pvh,1
Alexa Vega,30,F,1988-08-27,/m/0c2hxm,/m/02z7h0,1
Ossie Davis,29,M,1917-12-18,/m/0x67,/m/01vh18t,1
R. Lee Ermey,29,M,1944-03-24,,/m/01mylz,1
Steve Lemme,29,M,1968-11-13,,/m/061tsc,1
Martin Sheen,29,M,1940-08-03,/m/042gtr,/m/0hvb2,1
Tom Selleck,29,M,1945-01-29,/m/04q7gbh,/m/01pj3h,1
Geoffrey Lewis,29,M,1935-07-31,,/m/041rhq,1
Robert Downey Jr.,28,M,1965-04-04,/m/041rx,/m/016z2j,1
Tony Burton,28,M,1937-03-23,/m/0x67,/m/0bxvvc,1
Ed Harris,28,M,1950-11-28,,/m/017149,1
Erik Stolhanske,28,M,1968-08-23,,/m/061txy,1
Carl Weathers,28,M,1948-01-14,/m/0x67,/m/0234pg,1
Jeff Anderson,28,M,1970-04-21,,/m/09594c,1
Alec Baldwin,28,M,1958-04-03,/m/09vc4s,/m/018ygt,1
Sean Penn,28,M,1960-08-17,/m/041rx,/m/0sz28,1
Gwyneth Paltrow,28,F,1972-09-27,/m/041rx,/m/0bq2g,1
David Strathairn,28,M,1949-01-26,/m/032j30,/m/031k24,1
Clint Eastwood,28,M,1930-05-31,/m/09vc4s,/m/0bwh6,1
Jack Lemmon,28,M,1925-02-08,,/m/040z9,1
