Actor_name,connectivity,actor_gender,Actor_date_of_birth,Actor_ethnicity,Freebase_actor_ID,community
Estelle Harris,28,F,1928-04-04,,/m/07663r,1
Paul Soter,28,M,1969-08-16,,/m/061tx7,1
Courteney Cox,27,F,1964-06-15,,/m/01rr9f,1
Danny Glover,27,M,1946-07-22,/m/0x67,/m/0205dx,1
Mary Steenburgen,27,F,1953-02-08,/m/07mqps,/m/014g22,1
Tim Robbins,27,M,1958-10-16,,/m/01nr36,1
Regina Hall,27,F,1970-12-12,/m/0x67,/m/072z_t,1
Fred Ward,27,M,1942-12-30,,/m/03_48k,1
Luis Guzmán,27,M,1956-08-28,/m/0gkxl2,/m/031f1q,1
Sarah Michelle Gellar,27,F,1977-04-14,/m/041rx,/m/06w6_,1
Terrence Howard,27,M,1969-03-11,/m/0x67,/m/06g2d1,1
Snoop Dogg,26,M,1971-10-20,/m/0x67,/m/01vw8mh,1
Daryl Sabara,26,M,1992-06-14,/m/041rx,/m/042ldz,1
Kathy Baker,26,F,1950-06-08,,/m/07s8r0,1
Robert Carradine,26,M,1954-03-24,,/m/026qxz,1
Jude Law,26,M,1972-12-29,/m/02w7gg,/m/01r93l,1
Martin Scorsese,26,M,1942-11-17,/m/0xnvg,/m/04sry,1
Udo Kier,25,M,1944-10-14,/m/013xrm,/m/07mz77,1
Bruce Mahler,25,M,1950-09-12,,/m/026flxv,1
Woody Harrelson,25,M,1961-07-23,,/m/0170s4,1
William Devane,25,M,1937-09-05,,/m/02xgrd,1
Philip Baker Hall,25,M,1931-09-10,,/m/04t7ts,1
Daryl Hannah,25,F,1960-12-03,,/m/01xv77,1
Kevin Pollak,25,M,1957-10-30,,/m/02lf1j,1
Burgess Meredith,25,M,1907-11-16,,/m/01xcqc,1
Joey Lauren Adams,25,F,1968-01-09,,/m/03kwbr,1
Salma Hayek,24,F,1966-09-02,/m/09k5jvk,/m/06x58,1
Édouard Montoute,24,M,1970-12-20,,/m/0k43nb,1
Sid Haig,24,M,1939-07-14,,/m/078m0h,1
Sheri Moon,24,F,1970-09-26,,/m/0729vf,1
David Carradine,24,M,1936-12-08,/m/07bch9,/m/02p5hf,1
Jason Flemyng,24,M,1966-09-25,/m/02w7gg,/m/01v42g,1
James Caan,24,M,1940-03-26,/m/041rx,/m/0252fh,1
Julianne Moore,24,F,1960-12-03,/m/07bch9,/m/01kb2j,1
Diane Lane,24,F,1965-01-22,,/m/01skmp,1
Stephen McHattie,24,M,1947-02-03,/m/02rbdlq,/m/0fs9jn,1
Billy Bob Thornton,24,M,1955-08-04,,/m/01fh9,1
John Cassavetes,24,M,1929-12-09,,/m/01p1z_,1
Eric Roberts,23,M,1956-04-18,,/m/023nlj,1
Kevin James,23,M,1965-04-26,,/m/03xb2w,1
Val Kilmer,23,M,1959-12-31,/m/07bch9,/m/0d_84,1
Tom Savini,23,M,1946-11-03,,/m/04mqnp,1
Rose McGowan,22,F,1973-09-05,/m/06v41q,/m/01m4yn,1
Mel Gibson,22,M,1956-01-03,/m/03gskx0,/m/0c1pj,1
Bernard Farcy,22,M,,,/m/0k43n4,1
Oliver Platt,22,M,1960-01-12,/m/0g8_vp,/m/02xv8m,1
Tommy Kirk,22,M,1941-12-10,,/m/032bnr,1
Christian Slater,22,M,1969-08-18,/m/09vc4s,/m/01mqc_,1
Eric Stoltz,22,M,1961-09-30,,/m/033tln,1
Timothy Dalton,22,M,1944-03-21,/m/03vv99,/m/0143wl,1
Emma Sjöberg,22,F,1968-09-13,,/m/05ch0k,1
Michael J. Fox,22,M,1961-06-09,/m/0g8_vp,/m/0hz_1,1
Frédéric Diefenthal,22,M,1968-07-26,,/m/03xn8w6,1
Samy Naceri,22,M,1961-07-02,/m/03ts0c,/m/07lj7y,1
James LeGros,22,M,1962-04-27,,/m/08k881,1
Joe Mantegna,22,M,1947-11-13,/m/0xnvg,/m/026l37,1
William Sadler,22,M,1950-04-13,,/m/05pyq6,1
Keith Carradine,22,M,1949-08-08,,/m/03lmzl,1
Ethan Hawke,21,M,1970-11-06,/m/07hwkr,/m/015v3r,1
Jane Alexander,21,F,1939-10-28,,/m/01fx5l,1
Chus Lampreave,21,F,1930-12-11,,/m/0ftbkt,1
Blake Clark,21,M,1946-02-02,,/m/0dk8gd,1
Peter Boyle,21,M,1935-10-18,/m/033tf_,/m/02dth1,1
David Dorfman,21,M,1993-02-07,,/m/071m2d,1
Walt Flanagan,21,M,1967-10-23,,/m/094twz,1
Jennifer Schwalbach Smith,21,F,1971-04-07,,/m/081cbt,1
Bill Paxton,21,M,1955-05-17,,/m/01s7zw,1
Lance Kinsey,21,M,1959-06-13,,/m/0fgnhp,1
Joe Pesci,21,M,1943-02-09,/m/0xnvg,/m/01pj5q,1
John Morris,21,M,1984-10-02,,/m/026jltx,1
Hector Elizondo,21,M,1936-12-22,/m/042gtr,/m/03q6gy,1
Tim Kazurinsky,21,M,1950-03-03,,/m/01cs38,1
Bobcat Goldthwait,21,M,1962-05-26,,/m/03kxdw,1
Arnold Schwarzenegger,21,M,1947-07-30,/m/019lrz,/m/0tc7,1
Tony Shalhoub,21,M,1953-10-09,/m/0150zs,/m/02661h,1
Neve Campbell,21,F,1973-10-03,/m/092h2qt,/m/0l8v5,1
Kenneth Welsh,20,M,1942-03-30,/m/044038p,/m/06rn5d,1
Dermot Mulroney,20,M,1963-10-31,/m/033tf_,/m/074tb5,1
Mandy Moore,20,F,1984-04-10,/m/0dbxy,/m/01_ztw,1
Jody McCrea,20,M,1934-09-06,,/m/0bc5xm,1
John Larroquette,20,M,1947-11-25,,/m/04twmk,1
James Gandolfini,20,M,1961-09-18,/m/0xnvg,/m/01z7_f,1
Faizon Love,20,M,1968-06-14,/m/03yk6g,/m/06zn34,1
Richard Bright,20,M,1937-06-28,,/m/08sqc_,1
Marley Shelton,19,F,1974-04-12,,/m/081tlz,1
Frederic Forrest,19,M,1936-12-23,,/m/04bdw5,1
Clark Gregg,19,M,1962-04-02,,/m/0c9xjl,1
Sam Shepard,19,M,1943-11-05,,/m/016yzz,1
Diane Ladd,19,F,1935-11-29,,/m/01jrp0,1
Bryan Cranston,19,M,1956-03-07,,/m/05fnl9,1
Terry Crews,19,M,1968-07-30,/m/0x67,/m/063g7l,1
Jonathan Loughran,19,M,1966,,/m/0fx4_g,1
Ricky Jay,19,M,1948,/m/041rx,/m/01yb09,1
Curtis Armstrong,19,M,1953-11-27,,/m/041ly3,1
Marion Cotillard,19,F,1975-09-30,/m/03ts0c,/m/07lt7b,1
Karl Malden,19,M,1912-03-22,/m/0268d21,/m/01y8cr,1
Frances McDormand,19,F,1957-06-23,,/m/01p7yb,1
Jeff Goldblum,18,M,1952-10-22,/m/041rx,/m/01y_px,1
Rick Overton,18,M,1954-08-10,,/m/02tqys,1
Anthony Hopkins,18,M,1937-12-31,/m/02g7sp,/m/0z4s,1
Alfred Molina,18,M,1953-05-24,/m/02w7gg,/m/02wgln,1
Carol Kane,18,F,1952-06-18,/m/041rx,/m/021b_,1
Mike Judge,18,M,1962-10-17,,/m/01p8r8,1
James Tolkan,18,M,1931-06-20,,/m/06rgyc,1
Dwight Ewell,18,M,1968,/m/0x67,/m/09jfqc,1
Sam Rockwell,18,M,1968-11-05,,/m/04wp3s,1
Scott Thomson,18,M,1957-10-29,,/m/02210c_,1
Vinnie Jones,18,M,1965-01-05,/m/02w7gg,/m/01lqnff,1
James Gammon,18,M,1940-04-20,,/m/06kjz6,1
Kohl Sudduth,18,M,1974-08-08,,/m/0bc34dy,1
Tom Berenger,18,M,1949-05-31,,/m/021npv,1
John Sayles,18,M,1950-09-28,,/m/043hg,1
Saul Rubinek,18,M,1948-07-02,/m/041rx,/m/0652ty,1
Ice T,18,M,1958-02-16,/m/0x67,/m/03sww,1
Michael Imperioli,17,M,1966-03-26,/m/0xnvg,/m/02lfcm,1
Meryl Streep,17,F,1949-06-22,,/m/0h0wc,1
Michael Parks,17,M,1940-04-24,,/m/05qwyy,1
Nathan Lane,17,M,1956-02-03,/m/033tf_,/m/01nxzv,1
Catherine Keener,17,F,1959-03-23,/m/03bkbh,/m/04bdxl,1
Tommy Chong,17,M,1938-05-24,/m/0g8_vp,/m/01twmp,1
Campbell Scott,17,M,1961-07-19,,/m/056rgc,1
Joe Spinell,17,M,1936-10-28,,/m/097cf6,1
Ruby Dee,17,F,1924-10-27,/m/0x67,/m/04qsdh,1
Anthony Anderson,17,M,1970-08-15,/m/0x67,/m/042xrr,1
Ken Foree,17,M,1948-02-29,/m/0x67,/m/04bl43,1
Vincent D'Onofrio,17,M,1959-06-30,,/m/01hmb_,1
Mario Van Peebles,16,M,1957-01-15,/m/0x67,/m/036qs_,1
Daniel Roebuck,16,M,1963-03-04,,/m/068g3p,1
Jon Polito,16,M,1950-12-29,,/m/046chh,1
Edward James Olmos,16,M,1947-02-24,/m/01g7zj,/m/016yr0,1
Matt Dillon,16,M,1964-02-18,/m/07bch9,/m/026r8q,1
Sissy Spacek,16,F,1949-12-25,/m/0h2138,/m/0h1nt,1
Deborah Walley,16,F,1941-08-12,,/m/05vzd7,1
Method Man,16,M,1971-04-01,/m/0x67,/m/03j149k,1
Glenn Close,16,F,1947-03-19,/m/07hwkr,/m/0c3p7,1
Lea Thompson,16,F,1961-05-31,,/m/023n6h,1
Kris Kristofferson,16,M,1936-06-22,/m/065b6q,/m/016h4r,1
Giovanni Ribisi,16,M,1974-12-17,/m/0222qb,/m/03fbb6,1
Thomas F. Wilson,16,M,1959-04-15,,/m/03d_qmm,1
Rosario Dawson,16,F,1979-05-09,/m/09v5bdn,/m/02_hj4,1
Edward Burns,16,M,1968-01-29,/m/033tf_,/m/04wg38,1
Tony Todd,16,M,1954-12-04,/m/0x67,/m/045gzq,1
Harvey Lembeck,16,M,1923-04-15,,/m/07g9z5,1
Nick Nolte,16,M,1941-02-08,/m/03bkbh,/m/0lkr7,1
Melora Walters,16,F,1959-10-21,,/m/084sz6,1
Kathleen Turner,16,F,1954-06-19,/m/07hwkr,/m/018_lb,1
Jean-Christophe Bouvet,16,M,1947-03-24,,/m/0gdnb8,1
Christopher McDonald,15,M,1955-02-15,,/m/06z8gn,1
Michael Keaton,15,M,1951-09-05,/m/07bch9,/m/01j5ws,1
Jean-Claude Van Damme,15,M,1960-10-18,/m/02p656s,/m/0m8_v,1
Leonardo DiCaprio,15,M,1974-11-11,/m/09kr66,/m/0dvmd,1
Amber Tamblyn,15,F,1983-05-14,,/m/02jsrt,1
Angela Bassett,15,F,1958-08-16,/m/0x67,/m/02jt1k,1
Master P,15,M,1967-04-29,/m/0x67,/m/016ksk,1
Martin Lawrence,15,M,1965-04-16,/m/0x67,/m/02633g,1
Ben Kingsley,15,M,1943-12-31,/m/0dryh9k,/m/016k6x,1
J.J. Cohen,15,M,1965-06-22,,/m/026_w2h,1
Liev Schreiber,15,M,1967-10-04,/m/041rx,/m/0prfz,1
Scott Glenn,15,M,1941-01-26,/m/033tf_,/m/04gc65,1
Lindsay Frost,15,F,1962-06-04,,/m/07nt5x,1
Winona Ryder,15,F,1971-10-29,/m/041rx,/m/086sj,1
Anthony Johnson,15,M,1965,/m/0x67,/m/0fdb14,1
Wilford Brimley,15,M,1934-09-27,,/m/03b4bw,1
Rachael Bella,15,F,1984-03-13,,/m/05db_7,1
Carrie-Anne Moss,15,F,1967-08-21,,/m/01kj0p,1
Sam Elliott,15,M,1944-08-09,/m/07bch9,/m/06m6p7,1
Martin Henderson,15,M,1974-10-08,,/m/06zbbg,1
Margo Martindale,15,F,1951-07-18,,/m/0g52td,1
Kevin Spacey,15,M,1959-07-26,,/m/048lv,1
James Woods,15,M,1947-04-18,,/m/016ks_,1
Loretta Devine,15,F,1949-08-21,/m/0x67,/m/04pp9s,1
Wendy Crewson,15,F,1956-05-09,/m/044038p,/m/02f5jr,1
Julie Delpy,15,F,1969-12-21,/m/06v41q,/m/014g9y,1
Matthew Modine,15,M,1959-03-22,,/m/02nb2s,1
Jackie Earle Haley,15,M,1961-07-14,,/m/01lxl6,1
Tom Towles,15,M,1950-03-20,,/m/0d20ts,1
Peter Falk,15,M,1927-09-16,/m/0h2138,/m/05xpv,1
Ray Wise,15,M,1947-08-20,,/m/0736qr,1
Brad Dourif,15,M,1950-03-18,,/m/02bfmn,1
James DeBello,15,M,1980-06-09,,/m/07f3yj,1
Patrick Cavanaugh,15,M,,,/m/0h49l2,1
Norm Macdonald,14,M,1963-10-17,,/m/01x0kg7,1
Rebecca Pidgeon,14,F,1965-10-10,,/m/01p18m,1
Mickey Rourke,14,M,1952-09-16,/m/033tf_,/m/02m501,1
Julie Kavner,14,F,1950-09-07,,/m/0sw5n,1
Kevin Corrigan,14,M,1969-03-27,/m/09v5bdn,/m/0c7lcx,1
Mike Epps,14,M,1970-11-18,/m/0x67,/m/06l9n8,1
Danny Aiello,14,M,1933-06-20,/m/0xnvg,/m/01r7t9,1
Naomi Watts,14,F,1968-09-28,/m/01swvz,/m/01xcfy,1
Rosanna Arquette,14,F,1959-08-10,/m/048z7l,/m/01wk51,1
Josh Brolin,14,M,1968-02-12,,/m/03n_7k,1
Matthew Broderick,13,M,1962-03-21,/m/041rx,/m/01vlj1g,1
Jerry Reed,13,M,1937-03-20,,/m/01npmc_,1
Joshua Jackson,13,M,1978-06-11,/m/0g8_vp,/m/03_6y,1
Dr. Dre,13,M,1965-02-18,/m/0x67,/m/01vvydl,1
Nicky Katt,13,M,1970-05-11,,/m/077b2t,1
Bruce Dern,13,M,1936-06-04,,/m/01rnxn,1
Nia Long,13,F,1970-10-30,/m/04608z,/m/03km_1,1
Marlon Brando,13,M,1924-04-03,/m/07mqps,/m/04__f,1
Dennis Farina,13,M,1944-02-29,/m/0xnvg,/m/03dkdb,1
Pat McCormick,13,M,1927-06-30,,/m/075k0f,1
John Cazale,13,M,1936-08-12,,/m/03f362,1
Harley Quinn Smith,13,F,1999-06-26,,/m/0285c83,1
Phil Hartman,13,M,1948-09-24,/m/0g8_vp,/m/03d_zl4,1
Alfre Woodard,13,F,1952-11-08,/m/0x67,/m/030znt,1
Paul Williams,13,M,1940-09-19,,/m/020jqv,1
Joe Pantoliano,13,M,1951-09-12,/m/0xnvg,/m/01b9z4,1
Sigourney Weaver,13,F,1949-10-08,,/m/0h96g,1
Steven Blum,13,M,1960-04-28,,/m/044_7j,1
Sandra Bullock,13,F,1964-07-26,,/m/0794g,1
Quinn Smith,12,M,1969-12-06,,/m/03cf9rg,1
Kevin Conway,12,M,1942-05-29,,/m/0508xr,1
Chris Penn,12,M,1965-10-10,/m/041rx,/m/04zn7g,1
Ray Liotta,12,M,1954-12-18,/m/0xnvg,/m/02j490,1
Sondra Locke,12,F,1944-05-28,,/m/03q4yl,1
Pam Grier,12,F,1949-05-26,/m/0x67,/m/0418ft,1
Forest Whitaker,12,M,1961-07-15,/m/05g0f1,/m/02y_2y,1
Jon Gries,12,M,1957-06-17,,/m/06bggn,1
Dwayne Hickman,12,M,1934-05-18,,/m/03v91v,1
Adam Goldberg,12,M,1970-10-25,/m/041rx,/m/03jqw5,1
Jackie Gleason,12,M,1916-02-26,,/m/0121rx,1
Jean-Marc Barr,12,M,1960-09-27,/m/06v41q,/m/08fyt2,1
Denzel Washington,12,M,1954-12-28,/m/0x67,/m/0pmhf,1
Lili Taylor,12,F,1967-02-20,/m/02ctzb,/m/02nwxc,1
Jennifer Tilly,12,F,1958-09-16,/m/04y8_bm,/m/03jjzf,1
Alan Cumming,12,M,1965-01-27,/m/03lmx1,/m/01cwcr,1
Jonathan Breck,12,M,1965-02-17,,/m/0g7dfl,1
Peter Fonda,12,M,1940-02-23,/m/07mqps,/m/0170vn,1
Mark Ruffalo,12,M,1967-11-22,/m/0xnvg,/m/035rnz,1
Melanie Griffith,12,F,1957-08-09,/m/0cnvdq1,/m/02g0rb,1
Chris Cooper,12,M,1951-07-09,,/m/02s2ft,1
Paul Sorvino,12,M,1939-04-13,/m/0xnvg,/m/03q1vd,1
Barry Corbin,12,M,1940-10-16,,/m/04vcdj,1
Marisa Tomei,12,F,1964-12-04,/m/0xnvg,/m/01g257,1
Jamie Kennedy,12,M,1970-05-25,/m/033tf_,/m/02pzck,1
Joie Lee,12,F,1962-06-22,/m/0x67,/m/0b7tcc,1
Tony Denman,12,M,1979-10-22,,/m/02rwmyc,1
Holly Hunter,12,F,1958-03-20,,/m/01kp66,1
Tony Roberts,12,M,1939-10-22,/m/041rx,/m/089_fl,1
Jenifer Lewis,12,F,1957-01-25,/m/0x67,/m/052m4g,1
Paul Calderon,12,M,1959,/m/0gkxl2,/m/0869c8,1
Sofia Coppola,12,F,1971-05-14,/m/0xnvg,/m/01_f_5,1
Erin Blunt,12,M,1963-11-09,,/m/07k3_0b,1
Michael Biehn,12,M,1956-07-31,,/m/02d6n_,1
Jeremy Piven,12,M,1965-07-26,/m/048z7l,/m/05bpg3,1
Chris Barnes,12,M,1965-06-24,,/m/05l4vz,1
Jennifer Jason Leigh,12,F,1962-02-05,/m/09kr66,/m/01qqtr,1
Kyra Sedgwick,12,F,1965-08-19,/m/041rx,/m/059fjj,1
Jennifer Lyons,12,F,1977-08-06,,/m/0b3hjt,1
Ann-Margret,12,F,1941-04-28,/m/065b6q,/m/01gv_f,1
Michael Rispoli,12,M,1960-11-27,,/m/0d_22_,1
Matthew McConaughey,12,M,1969-11-04,,/m/02mjf2,1
Shelley Duvall,12,F,1949-07-07,,/m/0421st,1
Eric Lloyd,12,M,1986-05-19,,/m/0d7whx,1
Pete Postlethwaite,12,M,1946-02-07,/m/02w7gg,/m/018swb,1
Paul H. Kim,12,M,,,/m/0h49v0,1
Frank Vincent,12,M,1939-08-04,/m/0xnvg,/m/059gkk,1
Judge Reinhold,12,M,1957-05-21,,/m/032cqn,1
Kevin Kline,12,M,1947-10-24,/m/01qhm_,/m/01gbn6,1
Bruce McGill,12,M,1950-07-11,,/m/05nzw6,1
George Gonzales,12,M,1967,,/m/0gc25m1,1
Tom Waits,12,M,1949-12-07,,/m/03h_fqv,1
