movie_index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3333,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3837,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4560,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4726,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4728,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4730,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5224,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5313,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5729,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
7906,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9294,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9835,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10487,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11988,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
11992,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
11993,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
11994,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
12001,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
12002,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
12004,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
13149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17920,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
18996,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19701,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
19715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20669,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21180,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22216,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22751,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24653,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25506,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26541,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27079,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27097,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27098,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28269,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29782,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29943,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30007,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30327,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30581,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
30625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30809,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31371,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
31556,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31557,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32252,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
33270,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37599,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39311,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41528,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41881,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42222,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42293,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42361,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42383,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42886,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42993,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43452,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43566,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44210,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44218,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44437,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44696,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44752,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44771,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45126,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45242,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45481,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45606,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45772,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46757,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0
50793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
50957,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
51888,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52389,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52390,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52549,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
53085,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
54030,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54166,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54173,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54999,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55447,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
55495,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55601,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
55720,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57585,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57820,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60155,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60164,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60293,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61046,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61049,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61059,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61060,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61061,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61062,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61071,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61074,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61168,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61169,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61175,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61176,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61186,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61191,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61323,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61480,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61481,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61483,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61484,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61491,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61494,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61498,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61499,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61501,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61505,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61507,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61508,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61519,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61522,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61525,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
61527,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
